gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3
('a_a_ADP', 'dire_dire_VERB', 'la_il_DET')	23	a dire la	a	dire	la	a	dire	il	ADP	VERB	DET
('come_come_ADP', 'sua_suo_DET', 'sorella_sorella_NOUN')	23	come sua sorella	come	sua	sorella	come	suo	sorella	ADP	DET	NOUN
('che_che_SCONJ', 'sia_essere_AUX', 'il_il_DET')	23	che sia il	che	sia	il	che	essere	il	SCONJ	AUX	DET
('altro_altro_ADJ', 'bicchiere_bicchiere_NOUN', 'di_di_ADP')	23	altro bicchiere di	altro	bicchiere	di	altro	bicchiere	di	ADJ	NOUN	ADP
"('bollire_bollire_VERB', ""l'_il_DET"", 'acqua_acqua_NOUN')"	23	bollire l'acqua	bollire	l'	acqua	bollire	il	acqua	VERB	DET	NOUN
('è_essere_AUX', 'caduto_cadere_VERB', 'dal_da_ADP')	23	è caduto dal	è	caduto	dal	essere	cadere	da	AUX	VERB	ADP
('comprato_comprare_VERB', 'una_uno_DET', 'bottiglia_bottiglia_NOUN')	23	comprato una bottiglia	comprato	una	bottiglia	comprare	uno	bottiglia	VERB	DET	NOUN
"(""quell'_qu_ADV"", 'uomo_uomo_NOUN', 'è_essere_AUX')"	23	quell'uomo è	quell'	uomo	è	qu	uomo	essere	ADV	NOUN	AUX
('si_si_PRON', 'sentiva_sentire_VERB', 'bene_bene_ADV')	23	si sentiva bene	si	sentiva	bene	si	sentire	bene	PRON	VERB	ADV
('non_non_ADV', 'mi_mi_PRON', 'sembra_sembrare_VERB')	23	non mi sembra	non	mi	sembra	non	mi	sembrare	ADV	PRON	VERB
('più_più_ADV', 'di_di_ADP', 'quanto_quanto_PRON')	23	più di quanto	più	di	quanto	più	di	quanto	ADV	ADP	PRON
('un_uno_DET', 'problema_problema_NOUN', 'di_di_ADP')	23	un problema di	un	problema	di	uno	problema	di	DET	NOUN	ADP
('sono_essere_AUX', 'nato_nascere_VERB', 'a_a_ADP')	23	sono na	sono	nato	a	essere	nascere	a	AUX	VERB	ADP
('a_a_ADP', 'casa_casa_NOUN', 'il_il_DET')	23	a casa il	a	casa	il	a	casa	il	ADP	NOUN	DET
('un_uno_DET', 'bravo_bravo_ADJ', 'insegnante_insegnante_NOUN')	23	un bravo insegnante	un	bravo	insegnante	uno	bravo	insegnante	DET	ADJ	NOUN
('è_essere_AUX', 'per_per_ADP', 'voi_voi_PRON')	23	è per voi	è	per	voi	essere	per	voi	AUX	ADP	PRON
('di_di_ADP', 'avere_avere_AUX', 'mentito_mentire_VERB')	23	di avere mentito	di	avere	mentito	di	avere	mentire	ADP	AUX	VERB
('io_io_PRON', 'sarò_essere_AUX', 'di_di_ADP')	23	io sarò di	io	sarò	di	io	essere	di	PRON	AUX	ADP
('mi_mi_PRON', 'sta_stare_AUX', 'facendo_fare_VERB')	23	mi sta facendo	mi	sta	facendo	mi	stare	fare	PRON	AUX	VERB
('dato_dare_VERB', 'la_il_DET', 'chiave_chiave_NOUN')	23	dato la chiave	dato	la	chiave	dare	il	chiave	VERB	DET	NOUN
('che_che_SCONJ', 'lui_lui_PRON', 'è_essere_AUX')	23	che lui è	che	lui	è	che	lui	essere	SCONJ	PRON	AUX
('era_essere_AUX', 'da_da_ADP', 'solo_solo_ADJ')	23	era da solo	era	da	solo	essere	da	solo	AUX	ADP	ADJ
"('è_essere_AUX', ""all'_a_ADP"", 'ospedale_ospedale_NOUN')"	23	è all'ospedale	è	all'	ospedale	essere	a	ospedale	AUX	ADP	NOUN
('ho_avere_AUX', 'finito_finire_VERB', 'il_il_DET')	23	ho finito il	ho	finito	il	avere	finire	il	AUX	VERB	DET
('odia_odiare_VERB', 'il_il_DET', 'suo_suo_DET')	23	odia il suo	odia	il	suo	odiare	il	suo	VERB	DET	DET
('il_il_DET', 'lavoro_lavoro_NOUN', 'in_in_ADP')	23	il lavoro in	il	lavoro	in	il	lavoro	in	DET	NOUN	ADP
('il_il_DET', 'francese_francese_NOUN', 'con_con_ADP')	23	il francese con	il	francese	con	il	francese	con	DET	NOUN	ADP
('me_me_PRON', 'piace_piacere_VERB', 'mangiare_mangiare_VERB')	23	me piace mangiare	me	piace	mangiare	me	piacere	mangiare	PRON	VERB	VERB
('è_essere_AUX', 'una_uno_DET', 'tale_tale_ADJ')	23	è una tale	è	una	tale	essere	uno	tale	AUX	DET	ADJ
('non_non_ADV', 'dimenticate_dimenticare_VERB', 'di_di_ADP')	23	non di	non	dimenticate	di	non	dimenticare	di	ADV	VERB	ADP
('ha_avere_AUX', 'utilizzato_utilizzare_VERB', 'il_il_DET')	23	ha util	ha	utilizzato	il	avere	utilizzare	il	AUX	VERB	DET
('sentimenti_sentimento_NOUN', 'per_per_ADP', 'lei_lei_PRON')	23	sentimenti per lei	sentimenti	per	lei	sentimento	per	lei	NOUN	ADP	PRON
('lavorare_lavorare_VERB', 'con_con_ADP', 'lui_lui_PRON')	23	lavorare con lui	lavorare	con	lui	lavorare	con	lui	VERB	ADP	PRON
('divertito_divertire_VERB', 'alla_a_ADP', 'festa_festa_NOUN')	23	divertito alla festa	divertito	alla	festa	divertire	a	festa	VERB	ADP	NOUN
('fare_fare_VERB', 'niente_niente_PRON', 'per_per_ADP')	23	fare niente per	fare	niente	per	fare	niente	per	VERB	PRON	ADP
('ha_avere_AUX', 'mai_mai_ADV', 'letto_leggere_VERB')	23	ha mai letto	ha	mai	letto	avere	mai	leggere	AUX	ADV	VERB
('di_di_ADP', 'comprare_comprare_VERB', 'una_uno_DET')	23	di comprare una	di	comprare	una	di	comprare	uno	ADP	VERB	DET
('paura_paura_NOUN', 'di_di_ADP', 'voi_voi_PRON')	23	paura di voi	paura	di	voi	paura	di	voi	NOUN	ADP	PRON
('ha_avere_AUX', 'accettato_accettare_VERB', 'la_il_DET')	23	ha accettato la	ha	accettato	la	avere	accettare	il	AUX	VERB	DET
('di_di_ADP', 'essere_essere_AUX', 'nei_in_ADP')	23	di essere nei	di	essere	nei	di	essere	in	ADP	AUX	ADP
('ho_avere_VERB', 'un_uno_DET', 'lavoro_lavoro_NOUN')	23	ho un lavoro	ho	un	lavoro	avere	uno	lavoro	VERB	DET	NOUN
"(""l'_lo_PRON"", 'ha_avere_AUX', 'trovata_trovare_VERB')"	23	l'ha trovata	l'	ha	trovata	lo	avere	trovare	PRON	AUX	VERB
('vi_vi_PRON', 'suggerisco_suggerire_VERB', 'di_di_ADP')	23	vi suggerisco di	vi	suggerisco	di	vi	suggerire	di	PRON	VERB	ADP
('finta_finta_NOUN', 'di_di_ADP', 'non_non_ADV')	23	finta di non	finta	di	non	finta	di	non	NOUN	ADP	ADV
('odio_odiare_VERB', 'il_il_DET', 'mio_mio_DET')	23	odio il mio	odio	il	mio	odiare	il	mio	VERB	DET	DET
('la_il_DET', 'vostra_vostro_DET', 'insegnante_insegnante_NOUN')	23	la vostra insegnante	la	vostra	insegnante	il	vostro	insegnante	DET	DET	NOUN
('è_essere_AUX', 'il_il_DET', 'giorno_giorno_NOUN')	23	è il giorno	è	il	giorno	essere	il	giorno	AUX	DET	NOUN
('in_in_ADP', 'cui_cui_PRON', 'è_essere_AUX')	23		in	cui	è	in	cui	essere	ADP	PRON	AUX
('stava_stare_AUX', 'indossando_indossare_VERB', 'una_uno_DET')	23	stava indossando una	stava	indossando	una	stare	indossare	uno	AUX	VERB	DET
('la_il_DET', 'ragazza_ragazzo_NOUN', 'più_più_ADV')	23	la ragazza più	la	ragazza	più	il	ragazzo	più	DET	NOUN	ADV
('di_di_ADP', 'essere_essere_AUX', 'a_a_ADP')	23		di	essere	a	di	essere	a	ADP	AUX	ADP
"('sento_sentire_VERB', 'un_uno_DET', ""po'_poco_ADV"")"	23	sento un po'	sento	un	po'	sentire	uno	poco	VERB	DET	ADV
('che_che_PRON', 'voleva_volere_AUX', 'fare_fare_VERB')	23	che voleva fare	che	voleva	fare	che	volere	fare	PRON	AUX	VERB
('in_in_ADP', 'un_uno_DET', 'negozio_negozio_NOUN')	23	in un negozio	in	un	negozio	in	uno	negozio	ADP	DET	NOUN
('ha_avere_AUX', 'scritto_scrivere_VERB', 'la_il_DET')	23	ha scritto la	ha	scritto	la	avere	scrivere	il	AUX	VERB	DET
('ha_avere_AUX', 'mai_mai_ADV', 'chiesto_chiedere_VERB')	23	ha mai chiesto	ha	mai	chiesto	avere	mai	chiedere	AUX	ADV	VERB
('piacciono_piacere_VERB', 'gli_il_DET', 'sport_sport_NOUN')	23	piacciono gli sport	piacciono	gli	sport	piacere	il	sport	VERB	DET	NOUN
('bottiglia_bottiglia_NOUN', 'di_di_ADP', 'birra_birra_NOUN')	23	bottiglia di birra	bottiglia	di	birra	bottiglia	di	birra	NOUN	ADP	NOUN
('di_di_ADP', 'prendere_prendere_VERB', 'la_il_DET')	23	di prendere la	di	prendere	la	di	prendere	il	ADP	VERB	DET
('avete_avere_AUX', 'preso_prendere_VERB', 'qualcosa_qualcosa_PRON')	23	avete preso qualcosa	avete	preso	qualcosa	avere	prendere	qualcosa	AUX	VERB	PRON
('di_di_ADP', 'avere_avere_VERB', 'bisogno_bisogno_NOUN')	23	di avere bisogno	di	avere	bisogno	di	avere	bisogno	ADP	VERB	NOUN
('si_si_PRON', 'alza_alzare_VERB', 'presto_presto_ADV')	23	si alza presto	si	alza	presto	si	alzare	presto	PRON	VERB	ADV
('lasci_lasciare_VERB', 'che_che_SCONJ', 'le_le_PRON')	23	lasci che le	lasci	che	le	lasciare	che	le	VERB	SCONJ	PRON
('non_non_ADV', 'piace_piacere_VERB', 'a_a_ADP')	23	non pia	non	piace	a	non	piacere	a	ADV	VERB	ADP
('fare_fare_VERB', 'per_per_ADP', 'lui_lui_PRON')	23	fare per lui	fare	per	lui	fare	per	lui	VERB	ADP	PRON
('posso_potere_AUX', 'insegnarle_insegnare_VERB', 'a_a_ADP')	23	posso insegna	posso	insegnarle	a	potere	insegnare	a	AUX	VERB	ADP
('chi_chi_PRON', 'è_essere_VERB', 'che_che_PRON')	23	chi è che	chi	è	che	chi	essere	che	PRON	VERB	PRON
('le_le_PRON', 'avete_avere_AUX', 'viste_vedere_VERB')	23	le avete viste	le	avete	viste	le	avere	vedere	PRON	AUX	VERB
('è_essere_AUX', 'un_uno_DET', 'lavoro_lavoro_NOUN')	23	è un lavoro	è	un	lavoro	essere	uno	lavoro	AUX	DET	NOUN
('a_a_ADP', 'mio_mio_DET', 'agio_agio_NOUN')	23	a mio agio	a	mio	agio	a	mio	agio	ADP	DET	NOUN
('non_non_ADV', 'mi_mi_PRON', 'voglio_volere_AUX')	23	non mi voglio	non	mi	voglio	non	mi	volere	ADV	PRON	AUX
('voglio_volere_AUX', 'essere_essere_AUX', 'una_uno_DET')	23	voglio essere una	voglio	essere	una	volere	essere	uno	AUX	AUX	DET
('lei_lei_PRON', 'gli_gli_PRON', 'consigliò_consigliare_VERB')	23	lei gli consigliò	lei	gli	consigliò	lei	gli	consigliare	PRON	PRON	VERB
('un_uno_DET', 'grosso_grosso_ADJ', 'errore_errore_NOUN')	23	un grosso errore	un	grosso	errore	uno	grosso	errore	DET	ADJ	NOUN
('a_a_ADP', 'parlare_parlare_VERB', 'di_di_ADP')	23	a parlare di	a	parlare	di	a	parlare	di	ADP	VERB	ADP
('io_io_PRON', 'ho_avere_AUX', 'dato_dare_VERB')	23	io ho dato	io	ho	dato	io	avere	dare	PRON	AUX	VERB
('che_che_SCONJ', 'il_il_DET', 'tuo_tuo_DET')	23	che il tuo	che	il	tuo	che	il	tuo	SCONJ	DET	DET
('trovare_trovare_VERB', 'il_il_DET', 'suo_suo_DET')	23	trovare il suo	trovare	il	suo	trovare	il	suo	VERB	DET	DET
('non_non_ADV', 'è_essere_AUX', 'alto_alto_ADJ')	23	non è alto	non	è	alto	non	essere	alto	ADV	AUX	ADJ
('pensa_pensare_VERB', 'che_che_SCONJ', 'non_non_ADV')	23	pensa che non	pensa	che	non	pensare	che	non	VERB	SCONJ	ADV
('che_che_DET', 'cosa_cosa_PRON', 'vuoi_volere_AUX')	23	che cosa vuoi	che	cosa	vuoi	che	cosa	volere	DET	PRON	AUX
('temo_temere_VERB', 'che_che_SCONJ', 'non_non_ADV')	23	temo che non	temo	che	non	temere	che	non	VERB	SCONJ	ADV
('in_in_ADP', 'quello_quello_PRON', 'che_che_PRON')	23	in quello che	in	quello	che	in	quello	che	ADP	PRON	PRON
('molto_molto_DET', 'tempo_tempo_NOUN', 'in_in_ADP')	23	molto tempo in	molto	tempo	in	molto	tempo	in	DET	NOUN	ADP
('piace_piacere_VERB', 'il_il_DET', 'formaggio_formaggio_NOUN')	23	piace il formaggio	piace	il	formaggio	piacere	il	formaggio	VERB	DET	NOUN
('hai_avere_AUX', 'preso_prendere_VERB', 'qualcosa_qualcosa_PRON')	23	hai preso qualcosa	hai	preso	qualcosa	avere	prendere	qualcosa	AUX	VERB	PRON
('mi_mi_PRON', 'piace_piacere_VERB', 'quella_quello_DET')	23	mi piace quella	mi	piace	quella	mi	piacere	quello	PRON	VERB	DET
('sto_essere_AUX', 'parlando_parlare_VERB', 'con_con_ADP')	23	sto parlando con	sto	parlando	con	essere	parlare	con	AUX	VERB	ADP
('non_non_ADV', 'vuole_volere_AUX', 'parlare_parlare_VERB')	23	non vuole parlare	non	vuole	parlare	non	volere	parlare	ADV	AUX	VERB
"(""l'_il_DET"", 'alfabeto_alfabeto_NOUN', 'berbero_berbero_ADJ')"	23	l'alfabeto berbero	l'	alfabeto	berbero	il	alfabeto	berbero	DET	NOUN	ADJ
('ho_avere_VERB', 'paura_paura_NOUN', 'che_che_SCONJ')	23	ho paura che	ho	paura	che	avere	paura	che	VERB	NOUN	SCONJ
('si_si_PRON', 'è_essere_AUX', 'suicidato_suicidare_VERB')	23	si è suicidato	si	è	suicidato	si	essere	suicidare	PRON	AUX	VERB
('che_che_DET', 'cosa_cosa_PRON', 'mi_mi_PRON')	23	che cosa mi	che	cosa	mi	che	cosa	mi	DET	PRON	PRON
('ho_avere_AUX', 'detto_dire_VERB', 'così_così_ADV')	23	ho detto così	ho	detto	così	avere	dire	così	AUX	VERB	ADV
('posso_potere_AUX', 'insegnarti_insegnare_VERB', 'a_a_ADP')	23	posso insegna	posso	insegnarti	a	potere	insegnare	a	AUX	VERB	ADP
('non_non_ADV', 'hanno_avere_AUX', 'ancora_ancora_ADV')	23	non hanno ancora	non	hanno	ancora	non	avere	ancora	ADV	AUX	ADV
('fu_essere_AUX', 'in_in_ADP', 'grado_grado_NOUN')	23	fu in grado	fu	in	grado	essere	in	grado	AUX	ADP	NOUN
('treno_treno_NOUN', 'era_essere_AUX', 'in_in_ADP')	23	treno era in	treno	era	in	treno	essere	in	NOUN	AUX	ADP
('sei_essere_AUX', 'favorevole_favorevole_ADJ', 'o_o_CCONJ')	23	sei favo	sei	favorevole	o	essere	favorevole	o	AUX	ADJ	CCONJ
('avete_avere_AUX', 'mai_mai_ADV', 'provato_provare_VERB')	23	avete mai provato	avete	mai	provato	avere	mai	provare	AUX	ADV	VERB
('alla_a_ADP', 'sua_suo_DET', 'storia_storia_NOUN')	23	alla sua storia	alla	sua	storia	a	suo	storia	ADP	DET	NOUN
('io_io_PRON', 'e_e_CCONJ', 'te_te_PRON')	23	io e te	io	e	te	io	e	te	PRON	CCONJ	PRON
('valga_valere_VERB', 'la_il_DET', 'pena_pena_NOUN')	23	valga la pena	valga	la	pena	valere	il	pena	VERB	DET	NOUN
('sapere_sapere_VERB', 'di_di_ADP', 'più_più_ADV')	23	sapere di più	sapere	di	più	sapere	di	più	VERB	ADP	ADV
('un_uno_DET', 'certo_certo_ADJ', 'signor_signore_NOUN')	23	un certo signor	un	certo	signor	uno	certo	signore	DET	ADJ	NOUN
('mi_mi_PRON', 'ha_avere_AUX', 'preso_prendere_VERB')	23	mi ha preso	mi	ha	preso	mi	avere	prendere	PRON	AUX	VERB
('le_le_PRON', 'ho_avere_AUX', 'portato_portare_VERB')	23	le ho portato	le	ho	portato	le	avere	portare	PRON	AUX	VERB
('con_con_ADP', 'cui_cui_PRON', 'giocare_giocare_VERB')	23	con cui giocare	con	cui	giocare	con	cui	giocare	ADP	PRON	VERB
('luna_luna_NOUN', 'di_di_ADP', 'miele_miele_NOUN')	23	luna di miele	luna	di	miele	luna	di	miele	NOUN	ADP	NOUN
('ha_avere_AUX', 'accusato_accusare_VERB', 'di_di_ADP')	23	ha accusato di	ha	accusato	di	avere	accusare	di	AUX	VERB	ADP
('accanto_accanto_ADV', 'a_a_ADP', 'lui_lui_PRON')	23	accanto a lui	accanto	a	lui	accanto	a	lui	ADV	ADP	PRON
('dovremmo_dovere_AUX', 'andare_andare_VERB', 'a_a_ADP')	23	dovremmo a	dovremmo	andare	a	dovere	andare	a	AUX	VERB	ADP
('vuole_volere_AUX', 'andare_andare_VERB', 'con_con_ADP')	23	vuole andare con	vuole	andare	con	volere	andare	con	AUX	VERB	ADP
('non_non_ADV', 'ti_ti_PRON', 'ha_avere_AUX')	23	non ti ha	non	ti	ha	non	ti	avere	ADV	PRON	AUX
('pensate_pensare_VERB', 'veramente_veramente_ADV', 'che_che_SCONJ')	23	pensate veramente che	pensate	veramente	che	pensare	veramente	che	VERB	ADV	SCONJ
('ha_avere_AUX', 'nascosto_nascondere_VERB', 'il_il_DET')	23	ha nascosto il	ha	nascosto	il	avere	nascondere	il	AUX	VERB	DET
('ha_avere_AUX', 'ricevuto_ricevere_VERB', 'il_il_DET')	23	ha ricevuto il	ha	ricevuto	il	avere	ricevere	il	AUX	VERB	DET
('grado_grado_NOUN', 'di_di_ADP', 'vincere_vincere_VERB')	23	grado di vincere	grado	di	vincere	grado	di	vincere	NOUN	ADP	VERB
('non_non_ADV', 'piace_piacere_VERB', 'molto_molto_ADV')	23	non piace molto	non	piace	molto	non	piacere	molto	ADV	VERB	ADV
('qualcosa_qualcosa_PRON', 'di_di_ADP', 'terribile_terribile_ADJ')	23	qualcosa di terribile	qualcosa	di	terribile	qualcosa	di	terribile	PRON	ADP	ADJ
('amo_amare_VERB', 'le_il_DET', 'lingue_lingua_NOUN')	23	amo le lingue	amo	le	lingue	amare	il	lingua	VERB	DET	NOUN
('è_essere_AUX', 'in_in_ADP', 'un_uno_DET')	23	è in un	è	in	un	essere	in	uno	AUX	ADP	DET
('a_a_ADP', 'prendere_prendere_VERB', 'qualcosa_qualcosa_PRON')	23	andare a prendere qualcosa	a	prendere	qualcosa	a	prendere	qualcosa	ADP	VERB	PRON
('questo_questo_PRON', 'o_o_CCONJ', 'quello_quello_PRON')	23	questo o quello	questo	o	quello	questo	o	quello	PRON	CCONJ	PRON
('hai_avere_AUX', 'chiesto_chiedere_VERB', 'a_a_ADP')	23	ha	hai	chiesto	a	avere	chiedere	a	AUX	VERB	ADP
('ha_avere_AUX', 'preparato_preparare_VERB', 'la_il_DET')	23	ha preparato la	ha	preparato	la	avere	preparare	il	AUX	VERB	DET
('felice_felice_ADJ', 'di_di_ADP', 'vederla_vedere_VERB')	23	felice di vederla	felice	di	vederla	felice	di	vedere	ADJ	ADP	VERB
('che_che_SCONJ', 'è_essere_AUX', 'importante_importante_ADJ')	23	che è importante	che	è	importante	che	essere	importante	SCONJ	AUX	ADJ
('mia_mio_DET', 'macchina_macchina_NOUN', 'è_essere_AUX')	23	mia macchina è	mia	macchina	è	mio	macchina	essere	DET	NOUN	AUX
('questo_questo_PRON', 'è_essere_AUX', 'tutto_tutto_DET')	23	questo è tutto	questo	è	tutto	questo	essere	tutto	PRON	AUX	DET
('mai_mai_ADV', 'smesso_smettere_VERB', 'di_di_ADP')	23	mai smesso di	mai	smesso	di	mai	smettere	di	ADV	VERB	ADP
('io_io_PRON', 'andai_andare_VERB', 'a_a_ADP')	23	io a	io	andai	a	io	andare	a	PRON	VERB	ADP
('tu_tu_PRON', 'ti_ti_PRON', 'sei_essere_AUX')	23	tu ti sei	tu	ti	sei	tu	ti	essere	PRON	PRON	AUX
"(""c'_ci_PRON"", 'è_essere_VERB', 'nel_in_ADP')"	23	c'è nel	c'	è	nel	ci	essere	in	PRON	VERB	ADP
('è_essere_AUX', 'privo_privo_ADJ', 'di_di_ADP')	23	è privo di	è	privo	di	essere	privo	di	AUX	ADJ	ADP
"(""l'_lo_PRON"", 'hanno_avere_AUX', 'fatta_fare_VERB')"	23	l'hanno fatta	l'	hanno	fatta	lo	avere	fare	PRON	AUX	VERB
('lo_il_DET', 'zio_zio_NOUN', 'di_di_ADP')	23	lo zio di	lo	zio	di	il	zio	di	DET	NOUN	ADP
('di_di_ADP', 'cosa_cosa_PRON', 'sta_stare_AUX')	23	di cosa sta	di	cosa	sta	di	cosa	stare	ADP	PRON	AUX
('del_di_ADP', 'problema_problema_NOUN', 'di_di_ADP')	23	del problema di	del	problema	di	di	problema	di	ADP	NOUN	ADP
('è_essere_AUX', 'fatto_fare_VERB', 'male_male_ADV')	23	è fatto male	è	fatto	male	essere	fare	male	AUX	VERB	ADV
('letto_leggere_VERB', 'quel_quello_DET', 'libro_libro_NOUN')	23	letto quel libro	letto	quel	libro	leggere	quello	libro	VERB	DET	NOUN
"('ha_avere_AUX', 'rubato_rubare_VERB', ""l'_il_DET"")"	23	ha rubato l'	ha	rubato	l'	avere	rubare	il	AUX	VERB	DET
('la_il_DET', 'tua_tuo_DET', 'idea_idea_NOUN')	23	la tua idea	la	tua	idea	il	tuo	idea	DET	DET	NOUN
('rubato_rubare_VERB', 'il_il_DET', 'mio_mio_DET')	23	rubato il mio	rubato	il	mio	rubare	il	mio	VERB	DET	DET
('indossare_indossare_VERB', 'una_uno_DET', 'cravatta_cravatta_NOUN')	23	indossare una cravatta	indossare	una	cravatta	indossare	uno	cravatta	VERB	DET	NOUN
('non_non_ADV', 'sei_essere_AUX', 'in_in_ADP')	23	non sei in	non	sei	in	non	essere	in	ADV	AUX	ADP
('nella_in_ADP', 'sua_suo_DET', 'borsa_borsa_NOUN')	23	nella sua borsa	nella	sua	borsa	in	suo	borsa	ADP	DET	NOUN
('molto_molto_ADV', 'gentile_gentile_ADJ', 'da_da_ADP')	23	molto gentile da	molto	gentile	da	molto	gentile	da	ADV	ADJ	ADP
('il_il_DET', 'giorno_giorno_NOUN', 'ieri_ieri_ADV')	23	il giorno ieri	il	giorno	ieri	il	giorno	ieri	DET	NOUN	ADV
('ci_ci_PRON', 'ha_avere_AUX', 'mostrato_mostrare_VERB')	23	ci ha mostrato	ci	ha	mostrato	ci	avere	mostrare	PRON	AUX	VERB
('un_uno_DET', 'buon_buono_ADJ', 'aspetto_aspetto_NOUN')	23	un buon aspetto	un	buon	aspetto	uno	buono	aspetto	DET	ADJ	NOUN
('è_essere_AUX', 'venuto_venire_VERB', 'qua_qua_ADV')	23	è venuto qua	è	venuto	qua	essere	venire	qua	AUX	VERB	ADV
('a_a_ADP', 'quella_quello_DET', 'festa_festa_NOUN')	23	andato a quella festa	a	quella	festa	a	quello	festa	ADP	DET	NOUN
('restare_restare_VERB', 'a_a_ADP', 'letto_letto_NOUN')	23	restare a letto	restare	a	letto	restare	a	letto	VERB	ADP	NOUN
('diede_dare_VERB', 'il_il_DET', 'suo_suo_DET')	23	diede il suo	diede	il	suo	dare	il	suo	VERB	DET	DET
('per_per_ADP', 'conto_conto_NOUN', 'mio_mio_DET')	23	per conto mio	per	conto	mio	per	conto	mio	ADP	NOUN	DET
('la_il_DET', 'borsa_borsa_NOUN', 'di_di_ADP')	23	la borsa di	la	borsa	di	il	borsa	di	DET	NOUN	ADP
('bevendo_bere_VERB', 'del_di_ADP', 'latte_latte_NOUN')	23	bevendo del latte	bevendo	del	latte	bere	di	latte	VERB	ADP	NOUN
('questo_questo_PRON', 'è_essere_AUX', 'troppo_troppo_ADV')	23	questo è troppo	questo	è	troppo	questo	essere	troppo	PRON	AUX	ADV
('ti_ti_PRON', 'dispiace_dispiacere_VERB', 'se_se_SCONJ')	23	ti dispiace se	ti	dispiace	se	ti	dispiacere	se	PRON	VERB	SCONJ
('il_il_DET', 'mio_mio_DET', 'amore_amore_NOUN')	23	il mio amore	il	mio	amore	il	mio	amore	DET	DET	NOUN
('orgoglioso_orgoglioso_ADJ', 'di_di_ADP', 'voi_voi_PRON')	23	orgoglioso di voi	orgoglioso	di	voi	orgoglioso	di	voi	ADJ	ADP	PRON
('è_essere_AUX', 'la_il_DET', 'sola_solo_ADJ')	23	è la sola	è	la	sola	essere	il	solo	AUX	DET	ADJ
('fatto_fare_VERB', 'dei_di_ADP', 'piani_piano_NOUN')	23	fatto dei piani	fatto	dei	piani	fare	di	piano	VERB	ADP	NOUN
('ha_avere_VERB', 'le_il_DET', 'sue_suo_DET')	23	ha le sue	ha	le	sue	avere	il	suo	VERB	DET	DET
('lui_lui_PRON', 'non_non_ADV', 'piaceva_piacere_VERB')	23	lui non piaceva	lui	non	piaceva	lui	non	piacere	PRON	ADV	VERB
('ha_avere_AUX', 'dato_dare_VERB', 'questo_questo_DET')	23	ha dato questo	ha	dato	questo	avere	dare	questo	AUX	VERB	DET
('le_le_PRON', 'chiesi_chiedere_VERB', 'di_di_ADP')	23	le chiesi di	le	chiesi	di	le	chiedere	di	PRON	VERB	ADP
('di_di_ADP', 'aver_avere_AUX', 'rubato_rubare_VERB')	23	di aver rubato	di	aver	rubato	di	avere	rubare	ADP	AUX	VERB
('ci_ci_PRON', 'avrebbe_avere_AUX', 'aiutate_aiutare_VERB')	23	ci avrebbe aiutate	ci	avrebbe	aiutate	ci	avere	aiutare	PRON	AUX	VERB
('sono_essere_AUX', 'la_il_DET', 'vostra_vostro_DET')	23	sono la vostra	sono	la	vostra	essere	il	vostro	AUX	DET	DET
"('che_che_SCONJ', 'sia_essere_AUX', ""un'_uno_DET"")"	23	che sia un'	che	sia	un'	che	essere	uno	SCONJ	AUX	DET
('ha_avere_AUX', 'inventato_inventare_VERB', 'la_il_DET')	23	ha inventato la	ha	inventato	la	avere	inventare	il	AUX	VERB	DET
('aiuterà_aiutare_VERB', 'a_a_ADP', 'farlo_fare_VERB')	23	aiuterà a farlo	aiuterà	a	farlo	aiutare	a	fare	VERB	ADP	VERB
('le_il_DET', 'mie_mio_DET', 'figlie_figlia_NOUN')	23	le mie figlie	le	mie	figlie	il	mio	figlia	DET	DET	NOUN
('la_il_DET', 'pizza_pizza_NOUN', 'in_in_ADP')	23	la pizza in	la	pizza	in	il	pizza	in	DET	NOUN	ADP
('io_io_PRON', 'vengo_venire_VERB', 'da_da_ADP')	23	io vengo da	io	vengo	da	io	venire	da	PRON	VERB	ADP
('è_essere_AUX', 'un_uno_DET', 'ottimo_ottimo_ADJ')	23	è un ottimo	è	un	ottimo	essere	uno	ottimo	AUX	DET	ADJ
('non_non_ADV', 'dimentichi_dimenticare_VERB', 'di_di_ADP')	23	non di	non	dimentichi	di	non	dimenticare	di	ADV	VERB	ADP
('lo_lo_PRON', 'devo_dovere_AUX', 'fare_fare_VERB')	23	lo devo fare	lo	devo	fare	lo	dovere	fare	PRON	AUX	VERB
('avuto_avere_VERB', 'un_uno_DET', 'ictus_ictus_NOUN')	23	avuto un ictus	avuto	un	ictus	avere	uno	ictus	VERB	DET	NOUN
('di_di_ADP', 'suo_suo_DET', 'fratello_fratello_NOUN')	23	di suo fratello	di	suo	fratello	di	suo	fratello	ADP	DET	NOUN
('chi_chi_PRON', 'pensate_pensare_VERB', 'che_che_SCONJ')	23	chi pensate che	chi	pensate	che	chi	pensare	che	PRON	VERB	SCONJ
('la_il_DET', 'mia_mio_DET', 'città_città_NOUN')	23	la mia città	la	mia	città	il	mio	città	DET	DET	NOUN
('io_io_PRON', 'devo_dovere_AUX', 'essere_essere_AUX')	23	io devo essere	io	devo	essere	io	dovere	essere	PRON	AUX	AUX
