gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('ha_avere_AUX', 'visto_vedere_VERB', 'la_il_DET')	17	ha visto la	ha	visto	la	avere	vedere	il	AUX	VERB	DET	
('la_il_DET', 'sua_suo_DET', 'opinione_opinione_NOUN')	17	la sua opinione	la	sua	opinione	il	suo	opinione	DET	DET	NOUN	
('ai_a_ADP', 'suoi_suo_DET', 'genitori_genitore_NOUN')	17	ai suoi genitori	ai	suoi	genitori	a	suo	genitore	ADP	DET	NOUN	
('è_essere_AUX', 'stato_essere_AUX', 'molto_molto_ADV')	17	è stato molto	è	stato	molto	essere	essere	molto	AUX	AUX	ADV	
('quella_quello_PRON', 'è_essere_AUX', 'la_il_DET')	17	quella	quella	è	la	quello	essere	il	PRON	AUX	DET	
('noi_noi_PRON', 'non_non_ADV', 'possiamo_potere_AUX')	17	noi non possiamo	noi	non	possiamo	noi	non	potere	PRON	ADV	AUX	
('casa_casa_NOUN', 'a_a_ADP', 'piedi_piede_NOUN')	17	casa a piedi	casa	a	piedi	casa	a	piede	NOUN	ADP	NOUN	
('ammise_ammettere_VERB', 'che_che_SCONJ', 'era_essere_AUX')	17	ammise che era	ammise	che	era	ammettere	che	essere	VERB	SCONJ	AUX	
('lo_lo_PRON', 'sa_sapere_VERB', 'che_che_SCONJ')	17	lo sa che	lo	sa	che	lo	sapere	che	PRON	VERB	SCONJ	
('che_che_SCONJ', 'ci_ci_PRON', 'avrebbe_avere_AUX')	17	che ci avrebbe	che	ci	avrebbe	che	ci	avere	SCONJ	PRON	AUX	
('a_a_ADP', 'scuola_scuola_NOUN', 'in_in_ADP')	17	a a scuola in	a	scuola	in	a	scuola	in	ADP	NOUN	ADP	
('a_a_ADP', 'lei_lei_PRON', 'piacciono_piacere_VERB')	17	a lei piacciono	a	lei	piacciono	a	lei	piacere	ADP	PRON	VERB	
('riesco_riuscire_VERB', 'a_a_ADP', 'vedere_vedere_VERB')	17	riesco a vedere	riesco	a	vedere	riuscire	a	vedere	VERB	ADP	VERB	
('sarò_essere_AUX', 'di_di_ADP', 'ritorno_ritorno_NOUN')	17	sarò di ritorno	sarò	di	ritorno	essere	di	ritorno	AUX	ADP	NOUN	
('ho_avere_VERB', 'bisogno_bisogno_NOUN', 'del_di_ADP')	17	ho bisogno del	ho	bisogno	del	avere	bisogno	di	VERB	NOUN	ADP	
('io_io_PRON', 'non_non_ADV', 'sarò_essere_AUX')	17	io non sarò	io	non	sarò	io	non	essere	PRON	ADV	AUX	
('spero_sperare_VERB', 'che_che_SCONJ', 'non_non_ADV')	17	spero che non	spero	che	non	sperare	che	non	VERB	SCONJ	ADV	
('io_io_PRON', 'sono_essere_AUX', 'ancora_ancora_ADV')	17	io sono ancora	io	sono	ancora	io	essere	ancora	PRON	AUX	ADV	
('dove_dove_ADV', 'le_le_PRON', 'avete_avere_AUX')	17	dove le avete	dove	le	avete	dove	le	avere	ADV	PRON	AUX	
"(""l'_lo_PRON"", 'ho_avere_AUX', 'già_già_ADV')"	17	l'ho già	l'	ho	già	lo	avere	già	PRON	AUX	ADV	
('ci_ci_PRON', 'ha_avere_AUX', 'detto_dire_VERB')	17	ci ha detto	ci	ha	detto	ci	avere	dire	PRON	AUX	VERB	
('suo_suo_DET', 'nome_nome_NOUN', 'è_essere_AUX')	17	suo nome è	suo	nome	è	suo	nome	essere	DET	NOUN	AUX	
('non_non_ADV', 'voglio_volere_AUX', 'andare_andare_VERB')	17	non voglio andare	non	voglio	andare	non	volere	andare	ADV	AUX	VERB	
('hai_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	17	ha	hai	detto	a	avere	dire	a	AUX	VERB	ADP	
('sapeva_sapere_VERB', 'che_che_SCONJ', 'ero_essere_AUX')	17	sapeva che ero	sapeva	che	ero	sapere	che	essere	VERB	SCONJ	AUX	
('hanno_avere_AUX', 'detto_dire_VERB', 'di_di_ADP')	16	hanno detto di	hanno	detto	di	avere	dire	di	AUX	VERB	ADP	
('che_che_SCONJ', 'voi_voi_PRON', 'siate_essere_AUX')	16	che voi siate	che	voi	siate	che	voi	essere	SCONJ	PRON	AUX	
('alla_a_ADP', 'sua_suo_DET', 'festa_festa_NOUN')	16	alla sua festa	alla	sua	festa	a	suo	festa	ADP	DET	NOUN	
"('qual_qual_PRON', 'è_essere_AUX', ""l'_il_DET"")"	16	qual è l'	qual	è	l'	qual	essere	il	PRON	AUX	DET	
('non_non_ADV', 'sono_essere_AUX', 'in_in_ADP')	16	non sono in	non	sono	in	non	essere	in	ADV	AUX	ADP	
('il_il_DET', 'numero_numero_NOUN', 'di_di_ADP')	16	il numero di	il	numero	di	il	numero	di	DET	NOUN	ADP	
('pronto_pronto_ADJ', 'ad_a_ADP', 'andare_andare_VERB')	16	pronto ad andare	pronto	ad	andare	pronto	a	andare	ADJ	ADP	VERB	
"(""un'_uno_DET"", 'altra_altro_ADJ', 'birra_birra_NOUN')"	16	un'altra birra	un'	altra	birra	uno	altro	birra	DET	ADJ	NOUN	
('non_non_ADV', 'ha_avere_AUX', 'visto_vedere_VERB')	16	non ha visto	non	ha	visto	non	avere	vedere	ADV	AUX	VERB	
('siamo_essere_AUX', 'andati_andare_VERB', 'a_a_ADP')	16	sia	siamo	andati	a	essere	andare	a	AUX	VERB	ADP	
('io_io_PRON', 'non_non_ADV', 'le_le_PRON')	16	io non le	io	non	le	io	non	le	PRON	ADV	PRON	
('è_essere_AUX', 'andato_andare_VERB', 'al_a_ADP')	16	è andato al	è	andato	al	essere	andare	a	AUX	VERB	ADP	
('io_io_PRON', 'sono_essere_AUX', 'il_il_DET')	16	io sono il	io	sono	il	io	essere	il	PRON	AUX	DET	
('io_io_PRON', 'ho_avere_AUX', 'già_già_ADV')	16	io ho già	io	ho	già	io	avere	già	PRON	AUX	ADV	
('non_non_ADV', 'vi_vi_PRON', 'ho_avere_AUX')	16	non vi ho	non	vi	ho	non	vi	avere	ADV	PRON	AUX	
('voglio_volere_VERB', 'che_che_SCONJ', 'lei_lei_PRON')	16	voglio che lei	voglio	che	lei	volere	che	lei	VERB	SCONJ	PRON	
('non_non_ADV', 'li_li_PRON', 'ho_avere_AUX')	16	non li ho	non	li	ho	non	li	avere	ADV	PRON	AUX	
('io_io_PRON', 'non_non_ADV', 'ne_ne_PRON')	16	io non ne	io	non	ne	io	non	ne	PRON	ADV	PRON	
('tutti_tutto_PRON', 'sanno_sapere_VERB', 'che_che_SCONJ')	16	tutti sanno che	tutti	sanno	che	tutto	sapere	che	PRON	VERB	SCONJ	
('piace_piacere_VERB', 'la_il_DET', 'tua_tuo_DET')	16	piace la tua	piace	la	tua	piacere	il	tuo	VERB	DET	DET	
('tazza_tazza_NOUN', 'di_di_ADP', 'tè_tè_NOUN')	16	tazza di tè	tazza	di	tè	tazza	di	tè	NOUN	ADP	NOUN	
('il_il_DET', 'mese_mese_NOUN', 'prossimo_prossimo_ADJ')	16	il mese prossimo	il	mese	prossimo	il	mese	prossimo	DET	NOUN	ADJ	
('siete_essere_AUX', 'mai_mai_ADV', 'state_essere_AUX')	16	siete mai state	siete	mai	state	essere	mai	essere	AUX	ADV	AUX	
('con_con_ADP', 'il_il_DET', 'mio_mio_DET')	16	con il mio	con	il	mio	con	il	mio	ADP	DET	DET	
('avete_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	16	a	avete	detto	a	avere	dire	a	AUX	VERB	ADP	
('non_non_ADV', 'era_essere_AUX', 'molto_molto_ADV')	16	non era molto	non	era	molto	non	essere	molto	ADV	AUX	ADV	
('io_io_PRON', 'non_non_ADV', 'ti_ti_PRON')	16	io non ti	io	non	ti	io	non	ti	PRON	ADV	PRON	
"('è_essere_AUX', ""l'_il_DET"", 'unico_unico_ADJ')"	16	è l'unico	è	l'	unico	essere	il	unico	AUX	DET	ADJ	
('il_il_DET', 'suo_suo_DET', 'affitto_affitto_NOUN')	16	il suo affitto	il	suo	affitto	il	suo	affitto	DET	DET	NOUN	
('di_di_ADP', 'smettere_smettere_VERB', 'di_di_ADP')	16	di	di	smettere	di	di	smettere	di	ADP	VERB	ADP	
"('non_non_ADV', 'è_essere_AUX', ""l'_il_DET"")"	16	non è l'	non	è	l'	non	essere	il	ADV	AUX	DET	
('quali_quale_PRON', 'sono_essere_AUX', 'le_il_DET')	16	quali sono le	quali	sono	le	quale	essere	il	PRON	AUX	DET	
('io_io_PRON', 'lo_lo_PRON', 'sapevo_sapere_VERB')	16	io lo sapevo	io	lo	sapevo	io	lo	sapere	PRON	PRON	VERB	
"(""c'_ci_PRON"", 'è_essere_VERB', 'niente_niente_PRON')"	16	c'è niente	c'	è	niente	ci	essere	niente	PRON	VERB	PRON	
('ha_avere_VERB', 'paura_paura_NOUN', 'dei_di_ADP')	16	ha paura dei	ha	paura	dei	avere	paura	di	VERB	NOUN	ADP	
('ha_avere_AUX', 'mangiato_mangiare_VERB', 'la_il_DET')	16	ha mangiato la	ha	mangiato	la	avere	mangiare	il	AUX	VERB	DET	
('le_le_PRON', 'dissi_dire_VERB', 'che_che_SCONJ')	16	le dissi che	le	dissi	che	le	dire	che	PRON	VERB	SCONJ	
('detto_dire_VERB', 'che_che_SCONJ', 'mi_mi_PRON')	16	detto che mi	detto	che	mi	dire	che	mi	VERB	SCONJ	PRON	
('lei_lei_PRON', 'è_essere_AUX', 'un_uno_DET')	16	lei è un	lei	è	un	lei	essere	uno	PRON	AUX	DET	
('un_uno_DET', 'pezzo_pezzo_NOUN', 'di_di_ADP')	16	un pezzo di	un	pezzo	di	uno	pezzo	di	DET	NOUN	ADP	
('lei_lei_PRON', 'gli_gli_PRON', 'ha_avere_AUX')	16	lei gli ha	lei	gli	ha	lei	gli	avere	PRON	PRON	AUX	
('detto_dire_VERB', 'a_a_ADP', 'tutti_tutto_PRON')	16	detto a tutti	detto	a	tutti	dire	a	tutto	VERB	ADP	PRON	
('voi_voi_PRON', 'piace_piacere_VERB', 'il_il_DET')	16	voi piace il	voi	piace	il	voi	piacere	il	PRON	VERB	DET	
"('è_essere_AUX', ""un'_uno_DET"", 'insegnante_insegnante_NOUN')"	16	è un'insegnante	è	un'	insegnante	essere	uno	insegnante	AUX	DET	NOUN	
('ha_avere_AUX', 'chiesto_chiedere_VERB', 'se_se_SCONJ')	16	ha chiesto se	ha	chiesto	se	avere	chiedere	se	AUX	VERB	SCONJ	
('niente_niente_PRON', 'a_a_ADP', 'che_che_SCONJ')	16	niente a che	niente	a	che	niente	a	che	PRON	ADP	SCONJ	
('lei_lei_PRON', 'è_essere_AUX', 'la_il_DET')	16	lei è la	lei	è	la	lei	essere	il	PRON	AUX	DET	
('è_essere_AUX', 'stato_essere_AUX', 'ucciso_uccidere_VERB')	16	è stato ucciso	è	stato	ucciso	essere	essere	uccidere	AUX	AUX	VERB	
('con_con_ADP', 'un_uno_DET', 'coltello_coltello_NOUN')	16	con un coltello	con	un	coltello	con	uno	coltello	ADP	DET	NOUN	
('che_che_SCONJ', 'non_non_ADV', 'le_le_PRON')	16	che non le	che	non	le	che	non	le	SCONJ	ADV	PRON	
('non_non_ADV', 'sono_essere_AUX', 'sicura_sicuro_ADJ')	16	non sono sicura	non	sono	sicura	non	essere	sicuro	ADV	AUX	ADJ	
('che_che_PRON', 'ne_ne_PRON', 'dici_dire_VERB')	16	che ne dici	che	ne	dici	che	ne	dire	PRON	PRON	VERB	
('sono_essere_AUX', 'i_il_DET', 'miei_mio_DET')	16	sono i miei	sono	i	miei	essere	il	mio	AUX	DET	DET	
('da_da_ADP', 'parte_parte_NOUN', 'mia_mio_DET')	16	da parte mia	da	parte	mia	da	parte	mio	ADP	NOUN	DET	
('il_il_DET', 'suo_suo_DET', 'segreto_segreto_NOUN')	16	il suo segreto	il	suo	segreto	il	suo	segreto	DET	DET	NOUN	
('parlare_parlare_VERB', 'il_il_DET', 'francese_francese_NOUN')	16	parlare il francese	parlare	il	francese	parlare	il	francese	VERB	DET	NOUN	
('non_non_ADV', 'si_si_PRON', 'preoccupi_preoccupare_VERB')	16	non si preoccupi	non	si	preoccupi	non	si	preoccupare	ADV	PRON	VERB	
('pensa_pensare_VERB', 'che_che_SCONJ', 'sia_essere_AUX')	16	pensa che sia	pensa	che	sia	pensare	che	essere	VERB	SCONJ	AUX	
('è_essere_AUX', 'un_uno_DET', 'problema_problema_NOUN')	16	è un problema	è	un	problema	essere	uno	problema	AUX	DET	NOUN	
('andate_andare_VERB', 'a_a_ADP', 'casa_casa_NOUN')	16	andate a casa	andate	a	casa	andare	a	casa	VERB	ADP	NOUN	
('una_uno_DET', 'lettera_lettera_NOUN', 'da_da_ADP')	16	una lettera da	una	lettera	da	uno	lettera	da	DET	NOUN	ADP	
('a_a_ADP', 'casa_casa_NOUN', 'adesso_adesso_ADV')	16	andare a casa adesso	a	casa	adesso	a	casa	adesso	ADP	NOUN	ADV	
('le_le_PRON', 'piace_piacere_VERB', 'la_il_DET')	16	le piace la	le	piace	la	le	piacere	il	PRON	VERB	DET	
('in_in_ADP', 'questa_questo_DET', 'città_città_NOUN')	16	in questa città	in	questa	città	in	questo	città	ADP	DET	NOUN	
"(""dov'_dove_ADV"", 'è_essere_AUX', 'andato_andare_VERB')"	16	dov'è andato	dov'	è	andato	dove	essere	andare	ADV	AUX	VERB	
('perché_perché_ADV', 'non_non_ADV', 'la_la_PRON')	16	perché non la	perché	non	la	perché	non	la	ADV	ADV	PRON	
('tutti_tutto_DET', 'i_il_DET', 'miei_mio_DET')	16	tutti i miei	tutti	i	miei	tutto	il	mio	DET	DET	DET	
('non_non_ADV', 'sarò_essere_AUX', 'mai_mai_ADV')	16	non sarò mai	non	sarò	mai	non	essere	mai	ADV	AUX	ADV	
('che_che_SCONJ', 'lo_lo_PRON', 'avrebbe_avere_AUX')	16	che lo avrebbe	che	lo	avrebbe	che	lo	avere	SCONJ	PRON	AUX	
('non_non_ADV', 'ha_avere_VERB', 'nulla_nulla_PRON')	16	non ha nulla	non	ha	nulla	non	avere	nulla	ADV	VERB	PRON	
('accordo_accordo_NOUN', 'con_con_ADP', 'lei_lei_PRON')	16	accordo con lei	accordo	con	lei	accordo	con	lei	NOUN	ADP	PRON	
('non_non_ADV', 'ho_avere_VERB', 'più_più_ADV')	16	non ho più	non	ho	più	non	avere	più	ADV	VERB	ADV	
('i_il_DET', 'miei_mio_DET', 'amici_amico_NOUN')	16	i miei amici	i	miei	amici	il	mio	amico	DET	DET	NOUN	
('che_che_SCONJ', 'non_non_ADV', 'mi_mi_PRON')	16	che non mi	che	non	mi	che	non	mi	SCONJ	ADV	PRON	
('il_il_DET', 'mal_male_NOUN', 'di_di_ADP')	16	il mal di	il	mal	di	il	male	di	DET	NOUN	ADP	
('alla_a_ADP', 'sua_suo_DET', 'scrivania_scrivania_NOUN')	16	alla sua scrivania	alla	sua	scrivania	a	suo	scrivania	ADP	DET	NOUN	
('a_a_ADP', 'scuola_scuola_NOUN', 'a_a_ADP')	15	a	a	scuola	a	a	scuola	a	ADP	NOUN	ADP	
('mi_mi_PRON', 'serve_servire_VERB', 'una_uno_DET')	15	mi serve una	mi	serve	una	mi	servire	uno	PRON	VERB	DET	
('a_a_ADP', 'studiare_studiare_VERB', 'il_il_DET')	15	ato a studiare il	a	studiare	il	a	studiare	il	ADP	VERB	DET	
('non_non_ADV', 'avevo_avere_VERB', 'idea_idea_NOUN')	15	non avevo idea	non	avevo	idea	non	avere	idea	ADV	VERB	NOUN	
('ho_avere_AUX', 'visto_vedere_VERB', 'un_uno_DET')	15	ho visto un	ho	visto	un	avere	vedere	uno	AUX	VERB	DET	
('il_il_DET', 'suo_suo_DET', 'insegnante_insegnante_NOUN')	15	il suo insegnante	il	suo	insegnante	il	suo	insegnante	DET	DET	NOUN	
('più_più_ADV', 'intelligente_intelligente_ADJ', 'di_di_ADP')	15	più intelligente di	più	intelligente	di	più	intelligente	di	ADV	ADJ	ADP	
('ci_ci_PRON', 'sono_essere_VERB', 'delle_di_ADP')	15	ci sono delle	ci	sono	delle	ci	essere	di	PRON	VERB	ADP	
('che_che_SCONJ', 'non_non_ADV', 'avrebbe_avere_AUX')	15	che non avrebbe	che	non	avrebbe	che	non	avere	SCONJ	ADV	AUX	
('voi_voi_PRON', 'avete_avere_VERB', 'un_uno_DET')	15	voi avete un	voi	avete	un	voi	avere	uno	PRON	VERB	DET	
"(""dov'_dove_ADV"", 'è_essere_VERB', 'la_il_DET')"	15	dov'è la	dov'	è	la	dove	essere	il	ADV	VERB	DET	
('ne_ne_PRON', 'dici_dire_VERB', 'di_di_ADP')	15	ne di	ne	dici	di	ne	dire	di	PRON	VERB	ADP	
('io_io_PRON', 'sono_essere_AUX', 'sempre_sempre_ADV')	15	io sono sempre	io	sono	sempre	io	essere	sempre	PRON	AUX	ADV	
('sono_essere_AUX', 'molto_molto_ADV', 'felice_felice_ADJ')	15	sono molto felice	sono	molto	felice	essere	molto	felice	AUX	ADV	ADJ	
('è_essere_AUX', 'stato_essere_AUX', 'il_il_DET')	15	è stato il	è	stato	il	essere	essere	il	AUX	AUX	DET	
('tutta_tutto_DET', 'la_il_DET', 'sua_suo_DET')	15	tutta la sua	tutta	la	sua	tutto	il	suo	DET	DET	DET	
('alla_a_ADP', 'mia_mio_DET', 'festa_festa_NOUN')	15	alla mia festa	alla	mia	festa	a	mio	festa	ADP	DET	NOUN	
('tu_tu_PRON', 'non_non_ADV', 'sei_essere_AUX')	15	tu non sei	tu	non	sei	tu	non	essere	PRON	ADV	AUX	
('dei_di_ADP', 'suoi_suo_DET', 'figli_figlio_NOUN')	15	dei suoi figli	dei	suoi	figli	di	suo	figlio	ADP	DET	NOUN	
('prima_primo_ADJ', 'volta_volta_NOUN', 'che_che_SCONJ')	15	prima volta che	prima	volta	che	primo	volta	che	ADJ	NOUN	SCONJ	
('è_essere_AUX', 'un_uno_DET', 'paese_paese_NOUN')	15	è un paese	è	un	paese	essere	uno	paese	AUX	DET	NOUN	
('non_non_ADV', 'sapeva_sapere_VERB', 'che_che_SCONJ')	15	non sapeva che	non	sapeva	che	non	sapere	che	ADV	VERB	SCONJ	
('le_le_PRON', 'ho_avere_AUX', 'chiesto_chiedere_VERB')	15	le ho chiesto	le	ho	chiesto	le	avere	chiedere	PRON	AUX	VERB	
('i_il_DET', 'suoi_suo_DET', 'occhiali_occhiale_NOUN')	15	i suoi occhiali	i	suoi	occhiali	il	suo	occhiale	DET	DET	NOUN	
('andare_andare_VERB', 'al_a_ADP', 'cinema_cinema_NOUN')	15	andare al cinema	andare	al	cinema	andare	a	cinema	VERB	ADP	NOUN	
('sono_essere_AUX', 'sempre_sempre_ADV', 'stato_essere_AUX')	15	sono sempre stato	sono	sempre	stato	essere	sempre	essere	AUX	ADV	AUX	
('è_essere_VERB', 'che_che_SCONJ', 'non_non_ADV')	15	è che non	è	che	non	essere	che	non	VERB	SCONJ	ADV	
('non_non_ADV', 'ho_avere_VERB', 'idea_idea_NOUN')	15	non ho idea	non	ho	idea	non	avere	idea	ADV	VERB	NOUN	
('che_che_PRON', 'mi_mi_PRON', 'ha_avere_AUX')	15	che mi ha	che	mi	ha	che	mi	avere	PRON	PRON	AUX	
('ha_avere_VERB', 'un_uno_DET', 'buon_buono_ADJ')	15	ha un buon	ha	un	buon	avere	uno	buono	VERB	DET	ADJ	
('disse_dire_VERB', 'che_che_SCONJ', 'a_a_ADP')	15	disse che a	disse	che	a	dire	che	a	VERB	SCONJ	ADP	
"(""po'_poco_PRON"", 'di_di_ADP', 'denaro_denaro_NOUN')"	15	po' di denaro	po'	di	denaro	poco	di	denaro	PRON	ADP	NOUN	
('la_il_DET', 'sua_suo_DET', 'promessa_promessa_NOUN')	15	la sua promessa	la	sua	promessa	il	suo	promessa	DET	DET	NOUN	
('lo_lo_PRON', 'voleva_volere_AUX', 'fare_fare_VERB')	15	lo voleva fare	lo	voleva	fare	lo	volere	fare	PRON	AUX	VERB	
('sono_essere_AUX', 'sempre_sempre_ADV', 'stata_essere_AUX')	15	sono sempre stata	sono	sempre	stata	essere	sempre	essere	AUX	ADV	AUX	
('detto_dire_VERB', 'di_di_ADP', 'avere_avere_AUX')	15	detto di avere	detto	di	avere	dire	di	avere	VERB	ADP	AUX	
('penso_pensare_VERB', 'che_che_SCONJ', 'la_il_DET')	15	penso che la	penso	che	la	pensare	che	il	VERB	SCONJ	DET	
('lei_lei_PRON', 'non_non_ADV', 'mi_mi_PRON')	15	lei non mi	lei	non	mi	lei	non	mi	PRON	ADV	PRON	
('per_per_ADP', 'un_uno_DET', 'momento_momento_NOUN')	15	per un momento	per	un	momento	per	uno	momento	ADP	DET	NOUN	
('non_non_ADV', 'le_le_PRON', 'piace_piacere_VERB')	15	non le piace	non	le	piace	non	le	piacere	ADV	PRON	VERB	
('è_essere_AUX', 'solo_solo_ADV', 'un_uno_DET')	15	è solo un	è	solo	un	essere	solo	uno	AUX	ADV	DET	
('la_il_DET', 'mia_mio_DET', 'stanza_stanza_NOUN')	15	la mia stanza	la	mia	stanza	il	mio	stanza	DET	DET	NOUN	
('il_il_DET', 'mio_mio_DET', 'orologio_orologio_NOUN')	15	il mio orologio	il	mio	orologio	il	mio	orologio	DET	DET	NOUN	
('che_che_SCONJ', 'aveva_avere_VERB', 'bisogno_bisogno_NOUN')	15	che aveva bisogno	che	aveva	bisogno	che	avere	bisogno	SCONJ	VERB	NOUN	
('con_con_ADP', 'mio_mio_DET', 'zio_zio_NOUN')	15	con mio zio	con	mio	zio	con	mio	zio	ADP	DET	NOUN	
"('un_uno_DET', ""po'_poco_ADV"", 'troppo_troppo_ADV')"	15	un po' troppo	un	po'	troppo	uno	poco	troppo	DET	ADV	ADV	
('sono_essere_AUX', 'in_in_ADP', 'grado_grado_NOUN')	15	sono in grado	sono	in	grado	essere	in	grado	AUX	ADP	NOUN	
('hai_avere_AUX', 'visto_vedere_VERB', 'il_il_DET')	15	hai visto il	hai	visto	il	avere	vedere	il	AUX	VERB	DET	
('non_non_ADV', 'mi_mi_PRON', 'piacciono_piacere_VERB')	15	non mi piacciono	non	mi	piacciono	non	mi	piacere	ADV	PRON	VERB	
('suo_suo_DET', 'meglio_meglio_NOUN', 'per_per_ADP')	15	suo meglio per	suo	meglio	per	suo	meglio	per	DET	NOUN	ADP	
('non_non_ADV', 'lo_lo_PRON', 'sapevo_sapere_VERB')	15	non lo sapevo	non	lo	sapevo	non	lo	sapere	ADV	PRON	VERB	
('non_non_ADV', 'ha_avere_VERB', 'un_uno_DET')	15	non ha un	non	ha	un	non	avere	uno	ADV	VERB	DET	
('mai_mai_ADV', 'stata_essere_AUX', 'in_in_ADP')	15	mai stata in	mai	stata	in	mai	essere	in	ADV	AUX	ADP	
('detto_dire_VERB', 'che_che_SCONJ', 'voleva_volere_VERB')	15	detto che voleva	detto	che	voleva	dire	che	volere	VERB	SCONJ	VERB	
('ha_avere_AUX', 'aperto_aprire_VERB', 'la_il_DET')	15	ha aperto la	ha	aperto	la	avere	aprire	il	AUX	VERB	DET	
('ho_avere_AUX', 'dimenticato_dimenticare_VERB', 'di_di_ADP')	15	ho di	ho	dimenticato	di	avere	dimenticare	di	AUX	VERB	ADP	
('io_io_PRON', 'amo_amare_VERB', 'la_il_DET')	15	io amo la	io	amo	la	io	amare	il	PRON	VERB	DET	
('non_non_ADV', 'so_sapere_VERB', 'dove_dove_ADV')	15	non so dove	non	so	dove	non	sapere	dove	ADV	VERB	ADV	
('non_non_ADV', 'riescono_riuscire_VERB', 'a_a_ADP')	15	non riescono a	non	riescono	a	non	riuscire	a	ADV	VERB	ADP	
('non_non_ADV', 'avrei_avere_AUX', 'dovuto_dovere_AUX')	15	non avrei dovuto	non	avrei	dovuto	non	avere	dovere	ADV	AUX	AUX	
('noi_noi_PRON', 'abbiamo_avere_VERB', 'bisogno_bisogno_NOUN')	15	noi abbiamo bisogno	noi	abbiamo	bisogno	noi	avere	bisogno	PRON	VERB	NOUN	
('io_io_PRON', 'voglio_volere_AUX', 'essere_essere_AUX')	15	io voglio essere	io	voglio	essere	io	volere	essere	PRON	AUX	AUX	
('il_il_DET', 'mese_mese_NOUN', 'scorso_scorso_ADJ')	15	il mese scorso	il	mese	scorso	il	mese	scorso	DET	NOUN	ADJ	
('che_che_SCONJ', 'sia_essere_AUX', 'una_uno_DET')	15	che sia una	che	sia	una	che	essere	uno	SCONJ	AUX	DET	
('qualcosa_qualcosa_PRON', 'da_da_ADP', 'fare_fare_VERB')	15	qualcosa da fare	qualcosa	da	fare	qualcosa	da	fare	PRON	ADP	VERB	
('non_non_ADV', 'ho_avere_AUX', 'fatto_fare_VERB')	15	non ho fatto	non	ho	fatto	non	avere	fare	ADV	AUX	VERB	
('è_essere_AUX', 'in_in_ADP', 'ritardo_ritardo_NOUN')	15	è in ritardo	è	in	ritardo	essere	in	ritardo	AUX	ADP	NOUN	
('la_il_DET', 'mia_mio_DET', 'penna_penna_NOUN')	15	la mia penna	la	mia	penna	il	mio	penna	DET	DET	NOUN	
('è_essere_AUX', 'qualcosa_qualcosa_PRON', 'che_che_PRON')	15	è qualcosa che	è	qualcosa	che	essere	qualcosa	che	AUX	PRON	PRON	
('bisogno_bisogno_NOUN', 'di_di_ADP', 'parlare_parlare_VERB')	15	bisogno di parlare	bisogno	di	parlare	bisogno	di	parlare	NOUN	ADP	VERB	
('so_sapere_VERB', 'che_che_SCONJ', 'è_essere_AUX')	15	so che è	so	che	è	sapere	che	essere	VERB	SCONJ	AUX	
('dice_dire_VERB', 'che_che_SCONJ', 'lo_lo_PRON')	15	dice che lo	dice	che	lo	dire	che	lo	VERB	SCONJ	PRON	
('ciò_ciò_PRON', 'che_che_PRON', 'è_essere_AUX')	15	ciò che è	ciò	che	è	ciò	che	essere	PRON	PRON	AUX	
('si_si_PRON', 'è_essere_AUX', 'tolto_togliere_VERB')	15	si è tolto	si	è	tolto	si	essere	togliere	PRON	AUX	VERB	
('lui_lui_PRON', 'ha_avere_VERB', 'un_uno_DET')	15	lui ha un	lui	ha	un	lui	avere	uno	PRON	VERB	DET	
('la_il_DET', 'mia_mio_DET', 'ragazza_ragazzo_NOUN')	15	la mia ragazza	la	mia	ragazza	il	mio	ragazzo	DET	DET	NOUN	
('dove_dove_PRON', 'li_li_PRON', 'avete_avere_AUX')	15	dove li avete	dove	li	avete	dove	li	avere	PRON	PRON	AUX	
('non_non_ADV', 'vuole_volere_VERB', 'che_che_SCONJ')	15	non vuole che	non	vuole	che	non	volere	che	ADV	VERB	SCONJ	
('non_non_ADV', 'era_essere_AUX', 'a_a_ADP')	15	non era	non	era	a	non	essere	a	ADV	AUX	ADP	
('andare_andare_VERB', 'in_in_ADP', 'pensione_pensione_NOUN')	15	andare in pensione	andare	in	pensione	andare	in	pensione	VERB	ADP	NOUN	
('ho_avere_AUX', 'perso_perdere_VERB', 'la_il_DET')	15	ho perso la	ho	perso	la	avere	perdere	il	AUX	VERB	DET	
('che_che_SCONJ', 'aveva_avere_VERB', 'un_uno_DET')	15	che aveva un	che	aveva	un	che	avere	uno	SCONJ	VERB	DET	
('sto_stare_AUX', 'provando_provare_VERB', 'a_a_ADP')	15	sto prova	sto	provando	a	stare	provare	a	AUX	VERB	ADP	
('su_su_ADP', 'di_di_ADP', 'me_me_PRON')	15	su di me	su	di	me	su	di	me	ADP	ADP	PRON	
('ritardo_ritardo_NOUN', 'per_per_ADP', 'la_il_DET')	15	ritardo per la	ritardo	per	la	ritardo	per	il	NOUN	ADP	DET	
('non_non_ADV', 'ha_avere_VERB', 'una_uno_DET')	15	non ha una	non	ha	una	non	avere	uno	ADV	VERB	DET	
('la_il_DET', 'macchina_macchina_NOUN', 'di_di_ADP')	15	la macchina di	la	macchina	di	il	macchina	di	DET	NOUN	ADP	
