term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
dell'avere,avere,assets/possessions,noun,of the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',L'importo dell'avere è indicato.,The amount of the assets is shown.,c7a1002c993b68202065f3d8ffa767bbef8afc7e0148abb8eba5f7b8dce4940c,c8846e15bac089a9147679390d860e1c9942b93753a7b6fc42481d58e9beb3ce
all'avere,avere,assets/possessions,noun,to the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',La somma va all'avere.,The sum goes to the assets.,235268deb7f151af32bd8ecbde241ff694fadb5a6c182c42b5dfb885cf220824,df3a75cd8ce6b9351ef461bc13d2c95199e717249f24b412755275b3928545df
agli averi,avere,assets/possessions,noun,to the belongings,"finance,ownership",,,m,p,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Abbiamo accesso agli averi.,We have access to the belongings.,744c1b30018d566945c43b0e96db5add5b6b2cb5f95e9ad8f2faf2ae8220e342,389f0cc10f58ec4eb74ece83598eb190b563917350088682e40fe0cc2a40a2ec
dall'avere,avere,assets/possessions,noun,from the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Si passa dall'avere al dare.,One moves from the assets to the debit.,450edfb9da7fd5c1109f2a6f0a4dcb50d5a2100cf599cb8129f066a20df3e3ae,630680cddb2dda5ee620a621abf065c9a361acfb1146ba3ad6dfb28499c7b846
dagli averi,avere,assets/possessions,noun,from the belongings,"finance,ownership",,,m,p,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Le imposte provengono dagli averi dichiarati.,Taxes come from the declared belongings.,b8bb2d0e6d54a0dfd84175d8f7a57ed91d19f616de851211e6e6aabacceac7e3,210b23a7501b5128b9f8d4405d073b000d7658a24d889787313144ec51a15b89
nell'avere,avere,assets/possessions,noun,in the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è confusione nell'avere e nel dare.,There is confusion in the assets and the debit.,d6ecf48b07a42bb98885f46146460e025fb94300f09fb52ac8fa41171dc7dc63,5eb50338a50d5d592a5a3a275abc151343741a6c115f4c9719d3a37100c4d33b
negli averi,avere,assets/possessions,noun,in the belongings,"finance,ownership",,,m,p,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,C'è un errore negli averi.,There is a mistake in the belongings.,8e1a2b50810767d357c4541621f6ed18f92b0f0169536b8258d6ef181ace6127,e0a36857007fb6cab13c9b351cd69180c62983d47a98857179190eda6c4d0687
sull'avere,avere,assets/possessions,noun,on the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',La voce sull'avere è corretta.,The entry on the assets is correct.,8ed6091ee0fd89a10c1f812caa5507a577d648bbf66e64ff5fd97bd3bd45fcc3,837b3321bb5567d6fb5fe8c3c2046789b491d44316920fac9435b49ac489df4b
sugli averi,avere,assets/possessions,noun,on the belongings,"finance,ownership",,,m,p,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,C'è un vincolo sugli averi.,There is a lien on the belongings.,8c27349c034212aede406b2af11ba7f6e54349de80f636eab22588dec20d85a0,56c0d6b3243d18d98fc22880fabff01e614d254aa350ec94300b26b623a14508
con l'avere,avere,assets/possessions,noun,with the assets,"finance,ownership",,,m,s,,,False,False,False,articulated_preposition,l',con l',con,no contraction,Lavora con l'avere e il dare.,He works with the assets and the debit.,9a4d597b4dc90966100e2d8c8fbe3aae92385bd06a98f8e6b6623c319df087c3,d0b426bd6f8dc23c261facafe7ba18086cda576ebc771ba68dbe26d6499bcdb3
con gli averi,avere,assets/possessions,noun,with the belongings,"finance,ownership",,,m,p,,,False,False,False,articulated_preposition,gli,con gli,con,no contraction,Partì con gli averi di famiglia.,He left with the family belongings.,bb006de9464e26d9f5e9042374d36d3e3e66108610fa2f99a88e2e93aafa5d46,e243419e45990746e12b19575fe873421b5b053e5a91473dc1b9d17e710f960f
bagno,bagno,bathroom,noun,bathroom,"home,bathroom",,,m,s,,,False,False,False,,,,,also 'bath' or 'restroom',Cerco bagno libero.,I am looking for a free bathroom.,46d95daa4db9eaece16661ab4bd97c2510f730cb4139d1b6b6d4cebd49f387d2,ccc418c006f800ff8ee3fe838cea06705341e2dc50c0cdb984552f5515e49f56
un bagno,bagno,bathroom,noun,a bathroom,"home,bathroom",,,m,s,,,False,False,False,indefinite,un,un,,,Cerco un bagno.,I am looking for a bathroom.,529c57db6a3616358c4e02b9be31f646e774d5df3fce513ac1472b634e707aa1,b4cc042f9b74a995826ad693fa67afebdd6d79f5040b030549cd09c94f5d2b3f
il bagno,bagno,bathroom,noun,the bathroom,"home,bathroom",,,m,s,,,False,False,False,definite,il,il,,,Il bagno è occupato.,The bathroom is occupied.,2f65b946ce0b186f8189cea9bf1c34bdf5ac07b73da8a1fe5d6a8e065824cb24,e934248fdee3ca77190ee724a1b69356cb30b24d2149d4327ab649c9cf24c1dd
bagni,bagno,bathroom,noun,bathrooms,"home,bathroom",,,m,p,,,False,False,False,,,,,plural form,Bagni pubblici chiudono presto.,Public bathrooms close early.,6d9d76068b7e3cbc8950aeb11451318efe10e5eb9561aa85293326bf80dca5c8,599fa6fc2c730d7b4efb9fbd2cca49c6d3ece955d269594fed7a89ecb8574f62
i bagni,bagno,bathroom,noun,the bathrooms,"home,bathroom",,,m,p,,,False,False,False,definite,i,i,,,I bagni sono puliti.,The bathrooms are clean.,e8ecd7c0c1dd158d9028810ee0be788fcf2eb2e57719807a76156bd3c3bdd79d,dc5977792cacb6c024593d7408967315c119504b1b7c4aa68d20d5543b800abc
dei bagni,bagno,bathroom,noun,some bathrooms,"home,bathroom",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho visto dei bagni nuovi.,I saw some new bathrooms.,81f58663d1c1aeb1066ecd4cbe2dde39d50fcc85d98fb3677b23578b45c4a8f1,a35f36ae6a6b878fa3b14d846ce0ab1d5d4d224f01fae1051cb801be6b86b632
del bagno,bagno,bathroom,noun,of the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La porta del bagno è chiusa.,The door of the bathroom is closed.,623210833ef66464ce3a2caa48c1536ffa6e861588ca5e49bc1626096f96b128,39092089afcc1a2342193e987268fbf69629b2752c787146386562337c812d96
al bagno,bagno,bathroom,noun,to the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Vado al bagno.,I am going to the bathroom.,5bf0e555cb0f9745050c0bd5d1ddca4198ea7c73070021c98e1f0b43a0fb98df,a1054ce5fb2a88fc660c711808c25cc2bd14ae6887d010d219d5c3ad3d56e6c3
ai bagni,bagno,bathroom,noun,to the bathrooms,"home,bathroom",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Andiamo ai bagni pubblici.,We are going to the public bathrooms.,5f263eb96f71f53848621dc06804a8996d67cea971be355d340f4b150ae171a2,c41f2fb673f861f2a912f4c3973bbb28e94269fe99aa9a58863e9e761200e6d8
dal bagno,bagno,bathroom,noun,from the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal bagno.,I am leaving the bathroom.,94cf81acc1acf4032a3cd53a8c125bc3e86533df2bb0e404c2a1f52ce03349dd,454e5194df9b157e2bc7fe1863e48a8dee206d05393142b5e2bb69672f51cf29
dai bagni,bagno,bathroom,noun,from the bathrooms,"home,bathroom",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Odori dai bagni vicini.,Scents from the nearby bathrooms.,d2666a86c744e3b49f418f271bb6b51cb38d175bbe1c64778ad60da29729b0ea,5ec452a588b41ca72931c9f0f5d22d3f3ab4ab142b27f48d7887ebee558fb1ff
nel bagno,bagno,bathroom,noun,in the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Entro nel bagno.,I enter the bathroom.,41ace4bdb899d9844140cca01444cac30e1e6f01ed38667440bf0a06eec10aaa,0fe4fb146111c77c6937ab8bed7b1fe84a379cd181a48a44ffdd33f63f1f814f
nei bagni,bagno,bathroom,noun,in the bathrooms,"home,bathroom",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei bagni.,You cannot smoke in bathrooms.,3806106125273d525c5f51375d8b0548bb1968947c6a9c1b6faacae47a1ae5e0,6b7166f366b58b0bcc0d8d2e3fbe2a26a49a4695a97208d39a5ad3b3f84c70d3
sul bagno,bagno,bathroom,noun,on the bathroom/about the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,C'è un cartello sul bagno.,There is a sign on the bathroom.,19a90cd7d8bf818e182bca6655a52dc605c6cedaf2c84759d957c14e0fdbae13,25ebc59770ac9d53039f6faaa5c60976fe1e2d6a3044578c738a9442893833f8
sui bagni,bagno,bathroom,noun,about the bathrooms,"home,bathroom",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui bagni pubblici.,I have data about public bathrooms.,0559a78ecb3e9d7272c2f8ea70cdfc57414b3904cf9230a68e1d3362e6da5f69,ab476ff55d9e30f85f6bba5994a337ef0f20deebdd5c52a106e51043b571f795
col bagno,bagno,bathroom,noun,with the bathroom,"home,bathroom",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Ho problemi col bagno.,I have problems with the bathroom.,af0fb6035be14643ce907126d1b07a451af284df8f45cd5ad8c9936fb19801ff,21a60a58ff6fe3dd5fa127478a32d95bdc881c880adabf57a6cf9c13a7312f06
coi bagni,bagno,bathroom,noun,with the bathrooms,"home,bathroom",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi bagni pubblici.,We work with public bathrooms.,cbe2af121b30913439efbf70aac995d29cba2e3df8262396cb77e2a26f2ddb1e,1b9300dfbd974560a2f6c830cf2c043eac62db59d4f484d6d66be8e0bd3c290b
bar,bar,bar,noun,bar,"travel,dining",,,m,s,,,False,False,False,,,,,base lemma,Cerco bar aperto.,I am looking for an open bar.,1d4dbdf6a8ecdc3c51daf9539e6f8b8538ffafa298da8b97eeda2f0b2f69f7e2,e024dfd5e018ae7a7976c410e1e531f9d23fe2d7b30c23f9049c643a9270e95d
un bar,bar,bar,noun,a bar,"travel,dining",,,m,s,,,False,False,False,indefinite,un,un,,,Conosco un bar carino.,I know a nice bar.,12ea4333997effea5e0c6667c4e067d2e0e49c94283528210085f664fc288981,00974ea4742e3d471c25bd32adec9e3e37970ffa75ee7ced230416cf912d4599
il bar,bar,bar,noun,the bar,"travel,dining",,,m,s,,,False,False,False,definite,il,il,,,Il bar apre alle sette.,The bar opens at seven.,f70596b85dcea7bb8ef7122800fde0846714745f97dbc8fb87e501ab3c9e8288,4e9c4e9dd3ca2b500c47e3dc56d876846e5ac2dbf68fbdac90adcaee912ea686
bar,bar,bar,noun,bars,"travel,dining",,,m,p,,,False,False,False,,,,,invariable plural,Bar nuovi aprono spesso.,New bars open often.,1d4dbdf6a8ecdc3c51daf9539e6f8b8538ffafa298da8b97eeda2f0b2f69f7e2,4c2515ee11fea2902af1acbedf0491604483412df41b66dc9b41c9175ccd6573
i bar,bar,bar,noun,the bars,"travel,dining",,,m,p,,,False,False,False,definite,i,i,,,I bar sono pieni.,The bars are full.,ad9c371011fa4d859104408cbbb2598e3111668baec21fd5b3723375819256bb,b290480120f69de3e0c72f55f7ca37b09701ef071135e4ed34c3692243a90953
dei bar,bar,bar,noun,some bars,"travel,dining",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Provo dei bar locali.,I try some local bars.,ecc6d1e6b0e408deb59e46bfbc7fbda9795d1472008323a5c1926aa73d198b50,f18a2b8125f6b9f08e8d80643dfdd95a9256c55ab2f730e687b8634d18ba43ac
del bar,bar,bar,noun,of the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del bar è online.,The bar's hours are online.,fa879af25bf6e8c91e6909b2b8cb4e2807060b6761f7740ba79f6a2bd0ab98e3,a6ef9c648d4dac4d5c722e623743692f0f0d6181aeeb3044d0821655f038f4c8
al bar,bar,bar,noun,to the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al bar.,We are going to the bar.,b53721bed5ddb62bc0e7c60bc25ca174b1a8d8cd1132977fd715287bb1d576c3,0d57e6d69a2d3d810312d6c2b482511565a5b55108be395174c4b927b1f525a2
ai bar,bar,bar,noun,to the bars,"travel,dining",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Faccio pubblicità ai bar del centro.,I advertise to the downtown bars.,0f077d9d51cdff32755df22ea5c2daedfd310b35d60c025960bad1c7819e8430,08446a29cf06626bfd9990d221786a9bdecd6dc70a1536e3f7cfeecfbce77541
dal bar,bar,bar,noun,from the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal bar.,I leave the bar.,41f17294d90397016c98776f0bb3d75f82c7721347bf433fac615117c0a48c3e,35f4a6b288a60a1f1a6faf0da7d436744b39758da7b645e0ae5c260b01618025
dai bar,bar,bar,noun,from the bars,"travel,dining",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arriva musica dai bar vicini.,Music comes from the nearby bars.,320330a5c146a94783eb1af60c12f14a33891a3ddc251352b0e0d2f1f19522f0,e00264a6800ebacaef3b60ad3701277ac3f8a6264e951283f6f14ff84640fc8a
nel bar,bar,bar,noun,in the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel bar.,I work in the bar.,cb30d01844360f4d700b3d2e329484d1291ea716a58c1a73829d36c2c65846b5,82bbcb00fe387d4c0a9bfa4b961d4a966b3c6117873c1afe112f1bfe3412e605
nei bar,bar,bar,noun,in the bars,"travel,dining",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei bar.,You cannot smoke in bars.,f7a0498f8120c689fd5072d05ffc0abcf787a5161b7582abf8fb2c309ed6027c,9189fed3e7fbffb781431114902260a70605d8b78b527c38b3162463b39e38ac
sul bar,bar,bar,noun,about the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul bar.,I read a review about the bar.,9e610243cae0d605d98e8e1d58984230c0719c3aab4e874a1e3099027d62978a,dddecbe3283841e4ee787192a0d164bb7c056feeadf486ae171f1a393c14368f
sui bar,bar,bar,noun,about the bars,"travel,dining",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui bar locali.,I have data about the local bars.,f4ad31cb2d597aa0c8aa7a502bf414e072236b40c7440a016b7424d113777a90,efe8314f44f48f02a2f98be9d4910f61f2dc84da6a021196f1fa2979f86e6b59
col bar,bar,bar,noun,with the bar,"travel,dining",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col bar.,I collaborate with the bar.,b2fda490e5878c02a7f348707c6ef52d23621ea3d7dcb9792ad1a97b6e04d754,cced05efa261e327a95b5bfdcf7a66fdb929b835e3d4b7ca981eb4a056534b7d
coi bar,bar,bar,noun,with the bars,"travel,dining",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi bar partner.,We work with partner bars.,165d06804856fc4e54027a6dc40845e5d30f37cb55528b67b8d5d507f458d869,aaddd43ab5206b11cbfa9ba0e00c5147901db469d5aca7bc1c8523177c9f6003
basso,basso,bass,noun,bass,"music,instruments",,,m,s,,,False,False,False,,,,,base lemma,Cerco basso usato.,I am looking for a used bass.,c5efbe6f21324109d84548049f46b64dd61b73b2dcccf65359e5e0a1b81166a0,6262d79c17844e9041e692f219eb719be7f2a661100ef1370885d242d2350261
un basso,basso,bass,noun,a bass,"music,instruments",,,m,s,,,False,False,False,indefinite,un,un,,,Compro un basso.,I am buying a bass.,ed1a8b02ba0d5f8bb3c6d957fb8028d84a42c5f7807be5cf5ae8c23c31262876,74b90a2011137fc99d32643dc50a8549184e6fc62d3992de34c6e57bb0e0f453
il basso,basso,bass,noun,the bass,"music,instruments",,,m,s,,,False,False,False,definite,il,il,,,Il basso suona forte.,The bass sounds loud.,647edcec04cb572a65b391fe66d3cd34f4f2e830c656ca3f04c99438e023d9db,84f59b657de6673d89b9eb8b6d5ee8968b1a13c1077d14648632ec66728ba15f
bassi,basso,bass,noun,basses,"music,instruments",,,m,p,,,False,False,False,,,,,plural form,Bassi potenti si sentono ovunque.,Powerful basses are heard everywhere.,78f44d579aa5675347cc7a9ba6579db21e5c43fb2cd798b2b046faa5010c5b09,62a9cee97e850b4512f4d30b265ed5d3ab357f21edfea76940a3ed7f41683d78
i bassi,basso,bass,noun,the basses,"music,instruments",,,m,p,,,False,False,False,definite,i,i,,,I bassi dominano il mix.,The basses dominate the mix.,9bc2b0f83920f17e54cb7e3e675fbc05d5f05a1773543a5463f7e4b7ab9c9dbc,c43bd8ee84131a941fa1e3ac2aced5b9000677131884f2ba0c31ef4f0f5c2688
dei bassi,basso,bass,noun,some basses,"music,instruments",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Aggiungo dei bassi alla traccia.,I add some basses to the track.,0c907fcdc8e1e3178f9cff9d68c16a3e59ecd36bda360ff2d2a4239e0b9431a0,639427caabb9a70052705d724f13d58268de59bfa1a2a407a6b13fa63761fb34
del basso,basso,bass,noun,of the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il suono del basso è caldo.,The sound of the bass is warm.,bbbcb6594bb1631d399bb0e5b02d9b7a918496abc64cb22b58afa72c6a91b3de,5a84c92c060efeac445aabff0e648c78719c9deebf3928fd7cc8dbd2bbf98ea6
al basso,basso,bass,noun,to the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Do il microfono al basso.,I give the microphone to the bass player.,8b9cbaa5bb1e02a3feba137f77383d5d482b905476910b6573acee8e46965833,02d78af159297f9cbcfdfaf39cd17074914fbfc777076c661479742103e84a16
ai bassi,basso,bass,noun,to the basses,"music,instruments",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Presto attenzione ai bassi.,I pay attention to the basses.,68180ea9bbe63e5fec1c989a9b1930ff2cd36ea94833e2fc20b929c1a0710f8c,f873a256c77e71a363910bf5b5be901cc9ad18bfcc43c218d315c2c46dcbbcdb
dal basso,basso,bass,noun,from the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,La melodia parte dal basso.,The melody starts from the bass.,b0c52f71aa9c69fe3d450518687f63d8b35a330f2086809da0a580611ce5a3d7,40f926f7e9609421569e2c72de1957ebe8da2ec5bafc20105830da5b3a8d4bd5
dai bassi,basso,bass,noun,from the basses,"music,instruments",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Il ronzio proviene dai bassi.,The hum comes from the basses.,6ecae94258ab9d5d9803dd9e6b58d68792390aa8db2c4b0ebe721f9fe80f7b9a,7762e70c4450cde869f414c3764277143f550251fbccce7ec5e90dc8f2cee4dc
nel basso,basso,bass,noun,in the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,La linea resta nel basso.,The line stays in the bass register.,b4525dbe52716575157ea64d69e2535e98acd53e92ac018dbdd609d6f7d19b0a,c1d05929b61a152b5da0bfaec521cedcc9be2d7714ccefd671ce25be9288ec0a
nei bassi,basso,bass,noun,in the basses,"music,instruments",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,C'è distorsione nei bassi.,There is distortion in the basses.,27f89ff212edef0875e57220e5f5091667d4c9fc9cf29c89bcc26c92a8e97dfa,35c8fd90a00e93d99df39bc1f042dcd9cf1af586c7f6c6e35054f4ba2231b4f0
sul basso,basso,bass,noun,on the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Lavoro sul basso oggi.,I am working on the bass today.,f47816cc1a295d640169b1d76c291d9f91d1403e7f9993553a61e447fe094165,bea5fb7d1838d22745a542086ed12d7b7ab09564f0c32263c02c3e9a13886e86
sui bassi,basso,bass,noun,on the basses,"music,instruments",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Il tecnico interviene sui bassi.,The technician works on the basses.,a14ead624384cc6c1843a505d226e00a28a6e9140960a6c214b773637e941fce,fb2222b327e467d755efdf907e8bbcab532e3199fa753a0f2f84f4b92562c9b6
col basso,basso,bass,noun,with the bass,"music,instruments",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Suono col basso.,I play with the bass.,136c1da5c8c0512e34b87da1ce464c6400af111073546e4007fa690017def466,958ea4c703a986260c2407c61aadd25b356fa067791d3d06b6b32863fd006afd
coi bassi,basso,bass,noun,with the basses,"music,instruments",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavora coi bassi della band.,He works with the band's basses.,552c3c0df20ace72a44af71f75e5f4eaa992f3d41bf6ec21df405557c18fe1e0,9773c7208d803df4f306723112101b65432cd50025bdc62e258145a2efc1219d
bene,bene,well/good,noun,good (benefit),"core,quality",,,m,s,,,False,False,False,,,,,abstract noun; plural 'beni' = assets,Il bene è prezioso.,The good is precious.,f1cfae83a5a145d3a91453d071d551877a51e65a2b6be2a0d94b1e6c527569c6,f46d4b9a4715c34bc50d13baccedf453cd20cdbb01c6bd7e3731dd3dbcb705cd
un bene,bene,well/good,noun,a good,"core,quality",,,m,s,,,False,False,False,indefinite,un,un,,,È un bene comune.,It is a common good.,937d533d52996c02fc7a2e86c05ce1fc6a44040c7e3c1950d52ae650df746b24,1f2224c2955279035d7737760a6b86611621b1964a3ce50241acc178bb7469b7
il bene,bene,well/good,noun,the good,"core,quality",,,m,s,,,False,False,False,definite,il,il,,,Il bene vince.,The good prevails.,4bf99d947d799501f531baf9c4eacd5323237b110d348946e2de4bc213ad7ca4,fc58f46282735dc9dd47b8476d2aed652e9fc613f158ee8c91253c10ae2cb6cf
beni,bene,well/good,noun,goods,"core,quality",,,m,p,,,False,False,False,,,,,plural form,Beni essenziali costano poco.,Essential goods cost little.,68eed0d79fb49728eb29aa9c837fddaaad07adec03eb23039682be0fbdb1e122,bb7001e30f3935701d70a5165499f2041fe51ac86687df0acb6be3a324279adc
i beni,bene,well/good,noun,the goods,"core,quality",,,m,p,,,False,False,False,definite,i,i,,,I beni sono tassati.,The goods are taxed.,ace0bd6fc57cbf1051610a30d12407aab5416fb2ca0c1c36c25027e3a4e92df7,016fc6a275fb6214c276650ad3b0d7e45cc67db4ef42f71d641987946e82d33d
dei beni,bene,well/good,noun,some goods,"core,quality",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Abbiamo comprato dei beni.,We bought some goods.,76d80d6f4406374d1d1f4a7bfd149e94de4445554aec5ecd8b3c7c7bf4e847eb,4557ecfe11b6f5b52d38b292181408c52554fedd0d7d9fb7d33f8ee9a805387c
del bene,bene,well/good,noun,of the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il valore del bene è alto.,The value of the good is high.,b86b60b066474e7d0b063d26d58fc717e4f73cd9ca6746b8cade7342515a5f2d,c64998aab9ba4d99c8f3700c481833f0ff156163e04d909836db06de8f70225a
al bene,bene,well/good,noun,to the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Penso al bene di tutti.,I think about the good of everyone.,388f87b94664a7e08e861388b386d94e13bb96a25ea783eb24ec20226e7f9e6b,b2f4e454378ee3771baa246ffeeb1afde7646c6cccee7aab6125087ad3f2f5c2
ai beni,bene,well/good,noun,to the goods,"core,quality",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Danno accesso ai beni essenziali.,They give access to essential goods.,a65577fd9d429e30d1b370ec1df3d4bed904287dd54c011b1b3524ab869f0461,d432d650fbccf996271ff432c9fe3175695d613844bc1d2646c6f69b7518e443
dal bene,bene,well/good,noun,from the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Il profitto deriva dal bene.,The profit comes from the asset.,b7ebaeea8d471de9b38e17ffff6411a8313c70b47add0b6f1c3157527a4c286f,b99d45162bcceeb88ca1bf64bd39cad6791451dbd0913eef2be4a936e9847e60
dai beni,bene,well/good,noun,from the goods,"core,quality",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Le tasse provengono dai beni.,Taxes come from the goods.,2704e37467b36de20e925de02dea61080af382b2173ce9b5fa5594f00a3df5b3,95e4319cf9dbcb58f2989058ccaad6ac1b3fd246973931b4a68db3d48df93437
nel bene,bene,well/good,noun,in the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,La forza sta nel bene.,Strength lies in good.,4728219a21e5a080b9a4f86334ba4b57b2e252573914f67729e7e7239383a1a6,c57d28269dfa77977d450f1096ab27375e30c3bb3beaa9e11e7cba2774ea14c9
nei beni,bene,well/good,noun,in the goods,"core,quality",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Investo nei beni locali.,I invest in local goods.,dfa6a697b40ac5000d8219c21c96b930ddffa2711d19cb08b0f394c1ec526732,0e3aaeebc02de6a32f64f370faf423c773ec9a4979ee497a1a7f8300488d7f5c
sul bene,bene,well/good,noun,about the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un rapporto sul bene.,I read a report about the good.,79cf1b6e33d3247b25518bc1f5b4ac03738c70e2d8efa3fe79f7ccfe20d3ce3f,b06f395a76c2799a64cbd1a07cc9ca1fa5e9e70edacd30d057e8797eb1cbfa6c
sui beni,bene,well/good,noun,about the goods,"core,quality",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono dati sui beni.,There is data about the goods.,1abffcacbac50c3afcc3f19575e5c7739a5461269f89ae01663c064099c28777,d07d5e203af47a56d91d087467e7ee327044fa3e07375cca681a13241a3e8555
col bene,bene,well/good,noun,with the good,"core,quality",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Agiamo col bene comune in mente.,We act with the common good in mind.,77678c62d2bca3e79a7b6918aab8d49e87897852d90ed33ca61daae054c5a1b6,73b76879a7215675d59492e224ed98843ce81ca92820d2d03b5322931fd767a2
coi beni,bene,well/good,noun,with the goods,"core,quality",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi beni confiscati.,We work with the confiscated goods.,5ad75c7cfcbecee784ef35a9977fa8561b9ed0fb775d54eaef1b9aff6e56f7b9,8402967ec301d49f5815c01394bdc9bd3caa7f0ae34bbb0f8f2d36d53e76689a
biglietto,biglietto,ticket,noun,ticket,"travel,transport",,,m,s,,,False,False,False,,,,,base lemma,Biglietto valido per due giorni.,Ticket valid for two days.,77d4213244ce5197ec12bc0f69087ae96ba8528e82e701a5569d19c448f2006f,b5018721536099e83deb748c6fb725d7a0142e1eefc2a63967a93dc381d6f40a
un biglietto,biglietto,ticket,noun,a ticket,"travel,transport",,,m,s,,,False,False,False,indefinite,un,un,,,Compro un biglietto online.,I am buying a ticket online.,8f333e05804b6a1316ab79fab5806f479260954064860ee3d4ee001f69f8513f,185b765f2934e69fde2f4391f46264e28fe4e9b8fd863268e413dcddd6034dec
