term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
sull'ingresso,ingresso,entrance,noun,about the entrance,"home,buildings",,,m,s,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Ho letto un avviso sull'ingresso.,I read a notice about the entrance.,,
sugli ingressi,ingresso,entrance,noun,about the entrances,"home,buildings",,,m,p,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Leggo un rapporto sugli ingressi.,I am reading a report about the entrances.,,
coll'ingresso,ingresso,entrance,noun,with the entrance,"home,buildings",,,m,s,,,False,False,False,articulated_preposition,l',coll',con,contraction of con + l',L'appartamento coll'ingresso privato è comodo.,The apartment with the private entrance is convenient.,,
cogli ingressi,ingresso,entrance,noun,with the entrances,"home,buildings",,,m,p,,,False,False,False,articulated_preposition,gli,cogli,con,contraction of con + gli,Lavoriamo cogli ingressi secondari chiusi.,We are working with the side entrances closed.,,
locale,locale,local,noun,venue,place,,,m,s,,,False,False,False,,,,,base lemma,Cerco locale economico.,I am looking for an inexpensive venue.,,
un locale,locale,local,noun,a venue,place,,,m,s,,,False,False,False,indefinite,un,un,,,Cerco un locale carino.,I am looking for a nice venue.,,
il locale,locale,local,noun,the venue,place,,,m,s,,,False,False,False,definite,il,il,,,Il locale apre alle otto.,The venue opens at eight.,,
locali,locale,local,noun,venues,place,,,m,p,,,False,False,False,,,,,plural form,Locali nuovi aprono spesso.,New venues open often.,,
i locali,locale,local,noun,the venues,place,,,m,p,,,False,False,False,definite,i,i,,,I locali sono pieni.,The venues are full.,,
dei locali,locale,local,noun,some venues,place,,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Proviamo dei locali del centro.,We try some downtown venues.,,
del locale,locale,local,noun,of the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del locale è online.,The venue's hours are online.,,
al locale,locale,local,noun,to the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al locale.,We are going to the venue.,,
ai locali,locale,local,noun,to the venues,place,,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Suoniamo ai locali del centro.,We play at the downtown venues.,,
dal locale,locale,local,noun,from the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal locale.,I am leaving the venue.,,
dai locali,locale,local,noun,from the venues,place,,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arrivano voci dai locali vicini.,Rumors come from the nearby venues.,,
nel locale,locale,local,noun,in the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel locale.,I work in the venue.,,
nei locali,locale,local,noun,in the venues,place,,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei locali.,You cannot smoke in the venues.,,
sul locale,locale,local,noun,about the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul locale.,I am reading a review about the venue.,,
sui locali,locale,local,noun,about the venues,place,,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui locali notturni.,I have data about nightlife venues.,,
col locale,locale,local,noun,with the venue,place,,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col locale.,I collaborate with the venue.,,
coi locali,locale,local,noun,with the venues,place,,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi locali partner.,We work with partner venues.,,
macchina,macchina,car,noun,car,"travel,transport",,,f,s,,,False,False,False,,,,,also 'machine' depending on context,Cerco macchina usata.,I am looking for a used car.,,
una macchina,macchina,car,noun,a car,"travel,transport",,,f,s,,,False,False,False,indefinite,una,una,,,Ho comprato una macchina.,I bought a car.,,
la macchina,macchina,car,noun,the car,"travel,transport",,,f,s,,,False,False,False,definite,la,la,,,La macchina è nuova.,The car is new.,,
macchine,macchina,car,noun,cars,"travel,transport",,,f,p,,,False,False,False,,,,,plural form,Macchine veloci passano spesso qui.,Fast cars pass by often here.,,
le macchine,macchina,car,noun,the cars,"travel,transport",,,f,p,,,False,False,False,definite,le,le,,,Le macchine sono parcheggiate qui.,The cars are parked here.,,
delle macchine,macchina,car,noun,some cars,"travel,transport",,,f,p,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho visto delle macchine veloci.,I saw some fast cars.,,
della macchina,macchina,car,noun,of the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il colore della macchina è bellissimo.,The color of the car is very beautiful.,,
alla macchina,macchina,car,noun,to the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla macchina a prendere il giubbotto.,I am going to the car to get my jacket.,,
dalla macchina,macchina,car,noun,from the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Scendo dalla macchina.,I get out of the car.,,
nella macchina,macchina,car,noun,in the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Ho lasciato le chiavi nella macchina.,I left the keys in the car.,,
sulla macchina,macchina,car,noun,on the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,C'è neve sulla macchina.,There is snow on the car.,,
con la macchina,macchina,car,noun,with the car,"travel,transport",,,f,s,,,False,False,False,articulated_preposition,la,con la,con,no contraction with con + la,Partiamo con la macchina domani.,We are leaving with the car tomorrow.,,
alle macchine,macchina,car,noun,to the cars,"travel,transport",,,f,p,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Ci avviciniamo alle macchine parcheggiate.,We are approaching the parked cars.,,
dalle macchine,macchina,car,noun,from the cars,"travel,transport",,,f,p,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,I rumori dalle macchine mi distraggono.,The noises from the cars distract me.,,
nelle macchine,macchina,car,noun,in the cars,"travel,transport",,,f,p,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Non c'è spazio nelle macchine piccole.,There is no space in small cars.,,
sulle macchine,macchina,car,noun,on the cars,"travel,transport",,,f,p,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Le pubblicità sulle macchine sono ovunque.,Advertisements on cars are everywhere.,,
con le macchine,macchina,car,noun,with the cars,"travel,transport",,,f,p,,,False,False,False,articulated_preposition,le,con le,con,no contraction with con + le,Giochiamo con le macchine dei bambini.,We play with the children's toy cars.,,
male,male,evil/harm,noun,evil,"ethics,health",,,m,s,,,False,False,False,,,,,also used for physical pain,Parliamo di male e di bene.,We talk about evil and good.,,
un male,male,evil/harm,noun,an evil,"ethics,health",,,m,s,,,False,False,False,indefinite,un,un,,common in expression 'il male minore',È un male necessario.,It is a necessary evil.,,
il male,male,evil/harm,noun,the evil,"ethics,health",,,m,s,,,False,False,False,definite,il,il,,,Il male esiste.,Evil exists.,,
mali,male,evil/harm,noun,evils/ills,"ethics,health",,,m,p,,,False,False,False,,,,,plural form,Mali antichi tornano.,Ancient ills return.,,
i mali,male,evil/harm,noun,the evils,"ethics,health",,,m,p,,,False,False,False,definite,i,i,,,I mali del paese sono tanti.,The country's evils are many.,,
dei mali,male,evil/harm,noun,some evils,"ethics,health",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ci sono dei mali sociali da curare.,There are some social ills to address.,,
del male,male,evil/harm,noun,of the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Ho paura del male.,I am afraid of harm.,,
al male,male,evil/harm,noun,to the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Resisto al male.,I resist evil.,,
dal male,male,evil/harm,noun,from the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Mi proteggo dal male.,I protect myself from harm.,,
nel male,male,evil/harm,noun,in the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Trova forza nel male.,He finds strength in pain.,,
sul male,male,evil/harm,noun,on/about the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Sto leggendo un saggio sul male.,I am reading an essay about evil.,,
col male,male,evil/harm,noun,with the evil/harm,"ethics,health",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Convivo col male da anni.,I have lived with pain for years.,,
ai mali,male,evil/harm,noun,to the evils,"ethics,health",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Cerchiamo rimedi ai mali del quartiere.,We look for remedies for the neighborhood's ills.,,
dai mali,male,evil/harm,noun,from the evils,"ethics,health",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Si guarisce dai mali del passato.,One heals from the ills of the past.,,
nei mali,male,evil/harm,noun,in the evils,"ethics,health",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Troviamo lezioni nei mali del passato.,We find lessons in the ills of the past.,,
sui mali,male,evil/harm,noun,on/about the evils,"ethics,health",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Scrivo articoli sui mali moderni.,I write articles about modern ills.,,
coi mali,male,evil/harm,noun,with the evils,"ethics,health",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Viviamo coi mali del nostro tempo.,We live with the ills of our time.,,
marito,marito,husband,noun,husband,"family,people",,,m,s,,,False,False,False,,,,,base lemma,Cerco marito comprensivo.,I am looking for an understanding husband.,,
un marito,marito,husband,noun,a husband,"family,people",,,m,s,,,False,False,False,indefinite,un,un,,,Ha un marito fantastico.,She has a fantastic husband.,,
il marito,marito,husband,noun,the husband,"family,people",,,m,s,,,False,False,False,definite,il,il,,,Il marito arriva tardi.,The husband arrives late.,,
mariti,marito,husband,noun,husbands,"family,people",,,m,p,,,False,False,False,,,,,,Mariti e mogli ballano.,Husbands and wives dance.,,
i mariti,marito,husband,noun,the husbands,"family,people",,,m,p,,,False,False,False,definite,i,i,,,I mariti aspettano fuori.,The husbands wait outside.,,
dei mariti,marito,husband,noun,some husbands,"family,people",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Conosco dei mariti gentili.,I know some kind husbands.,,
del marito,marito,husband,noun,of the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Conosco il nome del marito.,I know the husband's name.,,
al marito,marito,husband,noun,to the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Scrivo al marito.,I write to the husband.,,
ai mariti,marito,husband,noun,to the husbands,"family,people",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Parlo ai mariti.,I speak to the husbands.,,
dal marito,marito,husband,noun,from the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Ho ricevuto aiuto dal marito.,I received help from the husband.,,
dai mariti,marito,husband,noun,from the husbands,"family,people",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Riceviamo consigli dai mariti.,We receive advice from the husbands.,,
nel marito,marito,husband,noun,in the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Ho fiducia nel marito.,I have faith in the husband.,,
nei mariti,marito,husband,noun,in the husbands,"family,people",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non crediamo nei mariti perfetti.,We do not believe in perfect husbands.,,
sul marito,marito,husband,noun,about the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho domande sul marito.,I have questions about the husband.,,
sui mariti,marito,husband,noun,about the husbands,"family,people",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Sto facendo una ricerca sui mariti.,I am doing research about husbands.,,
col marito,marito,husband,noun,with the husband,"family,people",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Vado col marito.,I go with the husband.,,
coi mariti,marito,husband,noun,with the husbands,"family,people",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Parlo coi mariti.,I speak with the husbands.,,
mezzo,mezzo,vehicle,noun,vehicle,"travel,transport",,,m,s,,,False,False,False,,,,,base lemma,Cerco mezzo economico.,I am looking for an inexpensive vehicle.,,
un mezzo,mezzo,vehicle,noun,a vehicle,"travel,transport",,,m,s,,,False,False,False,indefinite,un,un,,,Aspetto un mezzo per il centro.,I am waiting for a vehicle to the city center.,,
il mezzo,mezzo,vehicle,noun,the vehicle,"travel,transport",,,m,s,,,False,False,False,definite,il,il,,,Il mezzo arriva alle otto.,The vehicle arrives at eight.,,
mezzi,mezzo,vehicle,noun,vehicles,"travel,transport",,,m,p,,,False,False,False,,,,,plural form,Mezzi nuovi arrivano domani.,New vehicles arrive tomorrow.,,
i mezzi,mezzo,vehicle,noun,the vehicles,"travel,transport",,,m,p,,,False,False,False,definite,i,i,,,I mezzi sono in ritardo.,The vehicles are late.,,
dei mezzi,mezzo,vehicle,noun,some vehicles,"travel,transport",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Abbiamo dei mezzi disponibili.,We have some vehicles available.,,
del mezzo,mezzo,vehicle,noun,of the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il conducente del mezzo è gentile.,The driver of the vehicle is kind.,,
al mezzo,mezzo,vehicle,noun,to the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Mi avvicino al mezzo.,I walk up to the vehicle.,,
ai mezzi,mezzo,vehicle,noun,to the vehicles,"travel,transport",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Diamo la precedenza ai mezzi.,We give priority to the vehicles.,,
dal mezzo,mezzo,vehicle,noun,from the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Scendo dal mezzo.,I get off the vehicle.,,
dai mezzi,mezzo,vehicle,noun,from the vehicles,"travel,transport",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Le persone scendono dai mezzi.,People get off the vehicles.,,
nel mezzo,mezzo,vehicle,noun,in the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Nel mezzo ci sono pochi posti.,There are few seats in the vehicle.,,
nei mezzi,mezzo,vehicle,noun,in the vehicles,"travel,transport",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Nei mezzi c'è affollamento.,There is crowding on the vehicles.,,
sul mezzo,mezzo,vehicle,noun,on the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Salgo sul mezzo.,I get on the vehicle.,,
sui mezzi,mezzo,vehicle,noun,on the vehicles,"travel,transport",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Obbligo di mascherina sui mezzi.,Mask requirement on the vehicles.,,
col mezzo,mezzo,vehicle,noun,with the vehicle,"travel,transport",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Vado col mezzo aziendale.,I go with the company vehicle.,,
coi mezzi,mezzo,vehicle,noun,with the vehicles,"travel,transport",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Viaggiamo coi mezzi pubblici.,We travel by public transport.,,
modo,modo,way/manner,noun,way/manner,"manner,abstract",,,m,s,,,False,False,False,,,,,base lemma,Cambio modo di studiare.,I change the way I study.,,
un modo,modo,way/manner,noun,a way,"manner,abstract",,,m,s,,,False,False,False,indefinite,un,un,,,C'è un modo per farlo.,There is a way to do it.,,
il modo,modo,way/manner,noun,the way,"manner,abstract",,,m,s,,,False,False,False,definite,il,il,,,Conosco il modo giusto.,I know the right way.,,
modi,modo,way/manner,noun,ways,"manner,abstract",,,m,p,,,False,False,False,,,,,plural form,Ci sono modi diversi.,There are different ways.,,
i modi,modo,way/manner,noun,the ways,"manner,abstract",,,m,p,,,False,False,False,definite,i,i,,,Capisco i modi locali.,I understand the local ways.,,
dei modi,modo,way/manner,noun,some ways,"manner,abstract",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Esistono dei modi alternativi.,There are some alternative ways.,,
del modo,modo,way/manner,noun,of the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del modo corretto.,We talk about the correct way.,,
al modo,modo,way/manner,noun,to the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Preferisco questo approccio al modo vecchio.,I prefer this approach to the old way.,,
ai modi,modo,way/manner,noun,to the ways,"manner,abstract",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Sono abituato ai modi locali.,I am used to the local ways.,,
dal modo,modo,way/manner,noun,from the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Non giudicare dal modo in cui parla.,Do not judge by the way he speaks.,,
dai modi,modo,way/manner,noun,from the ways,"manner,abstract",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Impari molto dai modi delle persone.,You learn a lot from people's ways.,,
nel modo,modo,way/manner,noun,in the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Fallo nel modo giusto.,Do it in the right way.,,
nei modi,modo,way/manner,noun,in the ways,"manner,abstract",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Agiamo nei modi previsti.,We act in the expected ways.,,
sul modo,modo,way/manner,noun,about the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto un articolo sul modo di lavorare.,I read an article about the way of working.,,
sui modi,modo,way/manner,noun,about the ways,"manner,abstract",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Faccio ricerca sui modi di dire.,I do research on idioms.,,
col modo,modo,way/manner,noun,with the way,"manner,abstract",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Risolvi il problema col modo più semplice.,Solve the problem with the simplest way.,,
coi modi,modo,way/manner,noun,with the ways,"manner,abstract",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Parla coi modi giusti.,Speak with the right manners.,,
moglie,moglie,wife,noun,wife,"family,relationships",,,f,s,,,False,False,False,,,,,base lemma,Cerco moglie.,I am looking for a wife.,,
una moglie,moglie,wife,noun,a wife,"family,relationships",,,f,s,,,False,False,False,indefinite,una,una,,,Vorrei una moglie comprensiva.,I would like a supportive wife.,,
la moglie,moglie,wife,noun,the wife,"family,relationships",,,f,s,,,False,False,False,definite,la,la,,,La moglie arriva tardi.,The wife arrives late.,,
mogli,moglie,wife,noun,wives,"family,relationships",,,f,p,,,False,False,False,,,,,plural form,Mogli e mariti ballano.,Wives and husbands dance.,,
le mogli,moglie,wife,noun,the wives,"family,relationships",,,f,p,,,False,False,False,definite,le,le,,,Le mogli parlano tra loro.,The wives talk among themselves.,,
delle mogli,moglie,wife,noun,some wives,"family,relationships",,,f,p,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho parlato delle mogli dei colleghi.,I spoke about some colleagues' wives.,,
della moglie,moglie,wife,noun,of the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Conosco il fratello della moglie.,I know the wife's brother.,,
alla moglie,moglie,wife,noun,to the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Scrive alla moglie ogni giorno.,He writes to the wife every day.,,
alle mogli,moglie,wife,noun,to the wives,"family,relationships",,,f,p,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Parlo alle mogli dei giocatori.,I speak to the players' wives.,,
dalla moglie,moglie,wife,noun,from the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla moglie stasera.,I return from the wife tonight.,,
dalle mogli,moglie,wife,noun,from the wives,"family,relationships",,,f,p,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Abbiamo ricevuto aiuto dalle mogli.,We received help from the wives.,,
nella moglie,moglie,wife,noun,in the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Confida nella moglie.,He trusts in the wife.,,
nelle mogli,moglie,wife,noun,in the wives,"family,relationships",,,f,p,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Non credo nelle mogli perfette.,I do not believe in perfect wives.,,
sulla moglie,moglie,wife,noun,about the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho letto un articolo sulla moglie del sindaco.,I read an article about the mayor's wife.,,
sulle mogli,moglie,wife,noun,about the wives,"family,relationships",,,f,p,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Sto facendo ricerca sulle mogli migranti.,I am doing research about migrant wives.,,
con la moglie,moglie,wife,noun,with the wife,"family,relationships",,,f,s,,,False,False,False,articulated_preposition,la,con la,con,no contraction,Lui esce con la moglie.,He goes out with his wife.,,
con le mogli,moglie,wife,noun,with the wives,"family,relationships",,,f,p,,,False,False,False,articulated_preposition,le,con le,con,no contraction,Parliamo con le mogli domani.,We will talk with the wives tomorrow.,,
negozio,negozio,shop,noun,shop,"shopping,places",,,m,s,,,False,False,False,,,,,base lemma,Cerco negozio aperto.,I am looking for an open shop.,,
un negozio,negozio,shop,noun,a shop,"shopping,places",,,m,s,,,False,False,False,indefinite,un,un,,,Cerco un negozio aperto.,I am looking for an open shop.,,
il negozio,negozio,shop,noun,the shop,"shopping,places",,,m,s,,,False,False,False,definite,il,il,,,Il negozio apre alle otto.,The shop opens at eight.,,
negozi,negozio,shop,noun,shops,"shopping,places",,,m,p,,,False,False,False,,,,,plural form,Negozi nuovi aprono spesso.,New shops open often.,,
i negozi,negozio,shop,noun,the shops,"shopping,places",,,m,p,,,False,False,False,definite,i,i,,,I negozi sono pieni.,The shops are full.,,
dei negozi,negozio,shop,noun,some shops,"shopping,places",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Visito dei negozi locali.,I visit some local shops.,,
del negozio,negozio,shop,noun,of the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del negozio è online.,The shop's hours are online.,,
al negozio,negozio,shop,noun,to the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Vado al negozio.,I am going to the shop.,,
ai negozi,negozio,shop,noun,to the shops,"shopping,places",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Scrivo ai negozi del centro.,I write to the downtown shops.,,
dal negozio,negozio,shop,noun,from the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Torno dal negozio.,I am coming back from the shop.,,
dai negozi,negozio,shop,noun,from the shops,"shopping,places",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Profumi dai negozi vicini.,Scents from the nearby shops.,,
nel negozio,negozio,shop,noun,in the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel negozio.,I work in the shop.,,
nei negozi,negozio,shop,noun,in the shops,"shopping,places",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei negozi.,You cannot smoke in shops.,,
sul negozio,negozio,shop,noun,about the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul negozio.,I am reading a review about the shop.,,
sui negozi,negozio,shop,noun,about the shops,"shopping,places",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui negozi locali.,I have data about local shops.,,
col negozio,negozio,shop,noun,with the shop,"shopping,places",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col negozio.,I collaborate with the shop.,,
coi negozi,negozio,shop,noun,with the shops,"shopping,places",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi negozi partner.,We work with partner shops.,,
no,no,no,noun,no,"core,negation",,,m,s,,,False,False,False,,,,,base lemma; plural invariable 'no',Questo no sorprende.,This no is surprising.,,
un no,no,no,noun,a no,"core,negation",,,m,s,,,False,False,False,indefinite,un,un,,,Ho detto un no chiaro.,I said a clear no.,,
il no,no,no,noun,the no,"core,negation",,,m,s,,,False,False,False,definite,il,il,,,Il no è definitivo.,The no is final.,,
no,no,no,noun,noes,"core,negation",,,m,p,,,False,False,False,,,,,plural form; invariable plural 'no',Ho ricevuto troppi no.,I received too many noes.,,
i no,no,no,noun,the noes,"core,negation",,,m,p,,,False,False,False,definite,i,i,,,I no non mi fermano.,The noes do not stop me.,,
dei no,no,no,noun,some noes,"core,negation",,,m,p,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho sentito dei no.,I have heard some noes.,,
del no,no,no,noun,of the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del no di ieri.,We are talking about yesterday's no.,,
al no,no,no,noun,to the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Non cedere al no.,Do not give in to the no.,,
ai no,no,no,noun,to the noes,"core,negation",,,m,p,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Reagiamo ai no.,We react to the noes.,,
dal no,no,no,noun,from the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Ripartiamo dal no.,We start again from the no.,,
dai no,no,no,noun,from the noes,"core,negation",,,m,p,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Imparo dai no.,I learn from the noes.,,
nel no,no,no,noun,in the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Non vedo senso nel no.,I do not see sense in the no.,,
nei no,no,no,noun,in the noes,"core,negation",,,m,p,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,C'è valore nei no.,There is value in the noes.,,
sul no,no,no,noun,about the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho riflettuto sul no.,I reflected on the no.,,
sui no,no,no,noun,about the noes,"core,negation",,,m,p,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho letto articoli sui no.,I read articles about the noes.,,
col no,no,no,noun,with the no,"core,negation",,,m,s,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Convivo col no.,I live with the no.,,
coi no,no,no,noun,with the noes,"core,negation",,,m,p,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi no degli editori.,We deal with the publishers' noes.,,
notte,notte,night,noun,night,"time,calendar",,,f,s,,,False,False,False,,,,,base lemma; feminine noun,Notte lunga per tutti.,Long night for everyone.,,
una notte,notte,night,noun,a night,"time,calendar",,,f,s,,,False,False,False,indefinite,una,una,,,Ho dormito una notte lì.,I slept one night there.,,
la notte,notte,night,noun,the night,"time,calendar",,,f,s,,,False,False,False,definite,la,la,,,La notte è silenziosa.,The night is quiet.,,
notti,notte,night,noun,nights,"time,calendar",,,f,p,,,False,False,False,,,,,plural form,Notti tranquille passano in fretta.,Calm nights pass quickly.,,
le notti,notte,night,noun,the nights,"time,calendar",,,f,p,,,False,False,False,definite,le,le,,,Le notti sono lunghe.,The nights are long.,,
delle notti,notte,night,noun,some nights,"time,calendar",,,f,p,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ricordo delle notti felici.,I remember some happy nights.,,
