english_term,italian_term,part_of_speech,topics,english_base_term,italian_base_term,is_base
massive (feminine) (plural),massicce,adjective,[size],massive,massiccio,False
massive (masculine) (plural),massicci,adjective,[size],massive,massiccio,False
massive (feminine),massiccia,adjective,[size],massive,massiccio,False
massive (masculine),massiccio,adjective,[size],massive,massiccio,True
me,mi,pronoun,[object],me,mi,True
the menus,i menù,noun,[restaurant],menu,menù,unknown
the menu,il menù,noun,[restaurant],menu,menù,unknown
a menu,un menù,noun,[restaurant],menu,menù,unknown
the metal,il metallo,noun,[jewelry and metal working],metal,metallo,unknown
a metal,un metallo,noun,[jewelry and metal working],metal,metallo,unknown
the metals,i metalli,noun,[jewelry and metal working],metal,metallo,unknown
microscopic (masculine),microscopico,adjective,[size],microscopic,microscopico,True
microscopic (masculine) (plural),microscopici,adjective,[size],microscopic,microscopico,False
microscopic (feminine),microscopica,adjective,[size],microscopic,microscopico,False
microscopic (feminine) (plural),microscopiche,adjective,[size],microscopic,microscopico,False
mild,mite,adjective,[temperature],mild,mite,True
mild (plural),miti,adjective,[temperature],mild,mite,False
the milk,il latte,noun,[drinks],milk,latte,False
milk,latte,noun,[drinks],milk,latte,True
mine (feminine) (plural),le mie,pronoun,[possessive],mine,mio,False
mine (masculine),il mio,pronoun,[possessive],mine,mio,True
mine (masculine) (plural),i miei,pronoun,[possessive],mine,mio,False
mine (feminine),la mia,pronoun,[possessive],mine,mio,False
a minute,un minuto,noun,[time],minute,minuto,unknown
the minutes,i minuti,noun,[time],minute,minuto,unknown
the minute,il minuto,noun,[time],minute,minuto,unknown
the mist,la foschia,noun,[weather],mist,foschia,False
mist,foschia,noun,[weather],mist,foschia,True
the molds,gli stampi,noun,[jewelry and metal working],mold,stampo,unknown
a mold,uno stampo,noun,[jewelry and metal working],mold,stampo,unknown
the mold,lo stampo,noun,[jewelry and metal working],mold,stampo,unknown
money,denaro,noun,[general],money,denaro,True
the money,il denaro,noun,[general],money,denaro,False
a month,un mese,noun,[time],month,mese,unknown
the month,il mese,noun,[time],month,mese,unknown
the months,i mesi,noun,[time],month,mese,unknown
the moon,la luna,noun,[weather],moon,luna,False
moon,luna,noun,[weather],moon,luna,True
the morning,la mattina,noun,[time],morning,mattina,unknown
a morning,una mattina,noun,[time],morning,mattina,unknown
the mornings,le mattine,noun,[time],morning,mattina,unknown
a museum,un museo,noun,[places],museum,museo,unknown
the museums,i musei,noun,[places],museum,museo,unknown
the museum,il museo,noun,[places],museum,museo,unknown
myself,mi,pronoun,[reflexive],myself,mi,True
a napkin,un tovagliolo,noun,[restaurant],napkin,tovagliolo,unknown
the napkin,il tovagliolo,noun,[restaurant],napkin,tovagliolo,unknown
the napkins,i tovaglioli,noun,[restaurant],napkin,tovagliolo,unknown
narrow (feminine) (plural),strette,adjective,[size],narrow,stretto,False
narrow (masculine) (plural),stretti,adjective,[size],narrow,stretto,False
narrow (feminine),stretta,adjective,[size],narrow,stretto,False
narrow (masculine),stretto,adjective,[size],narrow,stretto,True
the necklaces,le collane,noun,[jewelry and metal working],necklace,collana,unknown
the necklace,la collana,noun,[jewelry and metal working],necklace,collana,unknown
a necklace,una collana,noun,[jewelry and metal working],necklace,collana,unknown
nervous (masculine),nervoso,adjective,[emotion],nervous,nervoso,True
nervous (feminine),nervosa,adjective,[emotion],nervous,nervoso,False
new (masculine) (plural),nuovi,adjective,[general],new,nuovo,False
new (masculine),nuovo,adjective,[general],new,nuovo,True
new (feminine),nuova,adjective,[general],new,nuovo,False
new (feminine) (plural),nuove,adjective,[general],new,nuovo,False
the nights,le notti,noun,[time],night,notte,unknown
a night,una notte,noun,[time],night,notte,unknown
the night,la notte,noun,[time],night,notte,unknown
the niobium,il niobio,noun,[jewelry and metal working],niobium,niobio,False
niobium,niobio,noun,[jewelry and metal working],niobium,niobio,True
nobody,nessuno,pronoun,[indefinite],nobody,nessuno,True
north,nord,noun,[directions],north,nord,True
the north,il nord,noun,[directions],north,nord,False
nothing,niente,pronoun,[indefinite],nothing,niente,True
numerous (masculine) (plural),numerosi,adjective,[quantity],numerous,numeroso,True
numerous (feminine) (plural),numerose,adjective,[quantity],numerous,numeroso,False
a nurse,un infermiere,noun,[people],nurse,infermiere,unknown
the nurses,gli infermieri,noun,[people],nurse,infermiere,unknown
the nurse,l'infermiere,noun,[people],nurse,infermiere,unknown
old (masculine) (plural),vecchi,adjective,[general],old,vecchio,False
old (feminine) (plural),vecchie,adjective,[general],old,vecchio,False
old (masculine),vecchio,adjective,[general],old,vecchio,True
old (feminine),vecchia,adjective,[general],old,vecchio,False
the olive oil,l'olio d'oliva,noun,[food],olive oil,olio d'oliva,False
olive oil,olio d'oliva,noun,[food],olive oil,olio d'oliva,True
the opals,gli opali,noun,[jewelry and metal working],opal,opale,unknown
an opal,un opale,noun,[jewelry and metal working],opal,opale,unknown
the opal,l'opale,noun,[jewelry and metal working],opal,opale,unknown
the orange juice,il succo d'arancia,noun,[drinks],orange juice,succo d'arancia,unknown
an orange juice,un succo d'arancia,noun,[drinks],orange juice,succo d'arancia,unknown
an orange,un'arancia,noun,[food],orange,arancia,unknown
the oranges,le arance,noun,[food],orange,arancia,unknown
the orange,l'arancia,noun,[food],orange,arancia,unknown
orange,arancione,adjective,[color],orange,arancione,True
ours (feminine),la nostra,pronoun,[possessive],ours,nostro,False
ours (feminine) (plural),le nostre,pronoun,[possessive],ours,nostro,False
ours (masculine),il nostro,pronoun,[possessive],ours,nostro,True
ours (masculine) (plural),i nostri,pronoun,[possessive],ours,nostro,False
ourselves,ci,pronoun,[reflexive],ourselves,ci,True
out of style,fuori moda,adjective,[shopping],out of style,fuori moda,True
overpriced (feminine),troppo cara,adjective,[cost],overpriced,troppo caro,False
overpriced (masculine),troppo caro,adjective,[cost],overpriced,troppo caro,True
palladium,palladio,noun,[jewelry and metal working],palladium,palladio,True
the palladium,il palladio,noun,[jewelry and metal working],palladium,palladio,False
pants,pantaloni,noun,[fashion],pants,pantaloni,True
the pants,i pantaloni,noun,[fashion],pants,pantaloni,False
the park,il parco,noun,[places],park,parco,unknown
a park,un parco,noun,[places],park,parco,unknown
the parks,i parchi,noun,[places],park,parco,unknown
the passport,il passaporto,noun,[travel],passport,passaporto,unknown
the passports,i passaporti,noun,[travel],passport,passaporto,unknown
a passport,un passaporto,noun,[travel],passport,passaporto,unknown
the pastas,le paste,noun,[restaurant],pasta,pasta,False
a pasta,una pasta,noun,[restaurant],pasta,pasta,False
pasta,pasta,noun,[food],pasta,pasta,True
the pasta,la pasta,noun,[food],pasta,pasta,False
the patina,la patina,noun,[jewelry and metal working],patina,patina,False
patina,patina,noun,[jewelry and metal working],patina,patina,True
the pen,la penna,noun,[general],pen,penna,unknown
a pen,una penna,noun,[general],pen,penna,unknown
the pens,le penne,noun,[general],pen,penna,unknown
perfect (feminine),perfetta,adjective,[quality],perfect,perfetto,False
perfect (masculine),perfetto,adjective,[quality],perfect,perfetto,True
petite (masculine),minuto,adjective,[size],petite,minuto,True
petite (masculine) (plural),minuti,adjective,[size],petite,minuto,False
petite (feminine) (plural),minute,adjective,[size],petite,minuto,False
petite (feminine),minuta,adjective,[size],petite,minuto,False
the pharmacies,le farmacie,noun,[places],pharmacy,farmacia,unknown
a pharmacy,una farmacia,noun,[places],pharmacy,farmacia,unknown
the pharmacy,la farmacia,noun,[places],pharmacy,farmacia,unknown
a phone,un telefono,noun,[general],phone,telefono,unknown
the phones,i telefoni,noun,[general],phone,telefono,unknown
the phone,il telefono,noun,[general],phone,telefono,unknown
the photos,le foto,noun,[general],photo,foto,unknown
the photo,la foto,noun,[general],photo,foto,unknown
a photo,una foto,noun,[general],photo,foto,unknown
pink,rosa,adjective,[color],pink,rosa,True
the pizza,la pizza,noun,[food],pizza,pizza,unknown
a pizza,una pizza,noun,[food],pizza,pizza,unknown
the pizzas,le pizze,noun,[food],pizza,pizza,unknown
a plane,un aereo,noun,[travel],plane,aereo,unknown
the planes,gli aerei,noun,[travel],plane,aereo,unknown
the plane,l'aereo,noun,[travel],plane,aereo,unknown
the plate,il piatto,noun,[restaurant],plate,piatto,unknown
a plate,un piatto,noun,[restaurant],plate,piatto,unknown
the plates,i piatti,noun,[restaurant],plate,piatto,unknown
platinum,platino,noun,[jewelry and metal working],platinum,platino,True
the platinum,il platino,noun,[jewelry and metal working],platinum,platino,False
pliers,pinze,noun,[jewelry and metal working],pliers,pinza,unknown
the pliers,le pinze,noun,[jewelry and metal working],pliers,pinza,unknown
the police officers,i poliziotti,noun,[people],police officer,poliziotto,unknown
a police officer,un poliziotto,noun,[people],police officer,poliziotto,unknown
the police officer,il poliziotto,noun,[people],police officer,poliziotto,unknown
the polishing wheels,le ruote di lucidatura,noun,[jewelry and metal working],polishing wheel,ruota di lucidatura,unknown
the polishing wheel,la ruota di lucidatura,noun,[jewelry and metal working],polishing wheel,ruota di lucidatura,unknown
a polishing wheel,una ruota di lucidatura,noun,[jewelry and metal working],polishing wheel,ruota di lucidatura,unknown
poor (feminine),scarsa,adjective,[quality],poor,scarso,False
poor (masculine),scarso,adjective,[quality],poor,scarso,True
priceless,inestimabile,adjective,[cost],priceless,inestimabile,True
the problem,il problema,noun,[general],problem,problema,unknown
a problem,un problema,noun,[general],problem,problema,unknown
the problems,i problemi,noun,[general],problem,problema,unknown
the prong,la griffe,noun,[jewelry and metal working],prong,griffe,True
purple,viola,adjective,[color],purple,viola,True
quartz,quarzo,noun,[jewelry and metal working],quartz,quarzo,True
the quartz,il quarzo,noun,[jewelry and metal working],quartz,quarzo,False
the rain,la pioggia,noun,[weather],rain,pioggia,False
rain,pioggia,noun,[weather],rain,pioggia,True
the rainbows,gli arcobaleni,noun,[weather],rainbow,arcobaleno,unknown
a rainbow,un arcobaleno,noun,[weather],rainbow,arcobaleno,unknown
the rainbow,l'arcobaleno,noun,[weather],rainbow,arcobaleno,unknown
reasonable,ragionevole,adjective,[cost],reasonable,ragionevole,True
the receipts,le ricevute,noun,[restaurant],receipt,ricevuta,unknown
the receipt,la ricevuta,noun,[restaurant],receipt,ricevuta,unknown
a receipt,una ricevuta,noun,[restaurant],receipt,ricevuta,unknown
the red wine,il vino rosso,noun,[drinks],red wine,vino rosso,True
red (feminine),rossa,adjective,[color],red,rosso,False
red (masculine),rosso,adjective,[color],red,rosso,True
the reservations,le prenotazioni,noun,[restaurant],reservation,prenotazione,unknown
the reservation,la prenotazione,noun,[restaurant],reservation,prenotazione,unknown
a reservation,una prenotazione,noun,[restaurant],reservation,prenotazione,unknown
the restaurants,i ristoranti,noun,[places],restaurant,ristorante,unknown
a restaurant,un ristorante,noun,[places],restaurant,ristorante,unknown
the restaurant,il ristorante,noun,[places],restaurant,ristorante,unknown
rice,riso,noun,[food],rice,riso,True
the rice,il riso,noun,[food],rice,riso,False
right,una destra,noun,[directions],right,destra,True
the rings,gli anelli,noun,[jewelry and metal working],ring,anello,unknown
a ring,un anello,noun,[jewelry and metal working],ring,anello,unknown
the ring,l'anello,noun,[jewelry and metal working],ring,anello,unknown
the rolling mill,il laminatoio,noun,[jewelry and metal working],rolling mill,laminatoio,unknown
a rolling mill,un laminatoio,noun,[jewelry and metal working],rolling mill,laminatoio,unknown
the rolling mills,i laminatoi,noun,[jewelry and metal working],rolling mill,laminatoio,unknown
the room,la stanza,noun,[general],room,stanza,unknown
a room,una stanza,noun,[general],room,stanza,unknown
the rooms,le stanze,noun,[general],room,stanza,unknown
the roundabout,la rotonda,noun,[directions],roundabout,rotonda,unknown
a roundabout,una rotonda,noun,[directions],roundabout,rotonda,unknown
the roundabouts,le rotonde,noun,[directions],roundabout,rotonda,unknown
a ruby,un rubino,noun,[jewelry and metal working],ruby,rubino,unknown
the ruby,il rubino,noun,[jewelry and metal working],ruby,rubino,unknown
the rubies,i rubini,noun,[jewelry and metal working],ruby,rubino,unknown
sad,triste,adjective,[emotion],sad,triste,True
the salad,l'insalata,noun,[food],salad,insalata,unknown
a salad,un'insalata,noun,[food],salad,insalata,unknown
the salads,le insalate,noun,[food],salad,insalata,unknown
the sandals,i sandali,noun,[fashion],sandal,sandalo,unknown
a sandal,un sandalo,noun,[fashion],sandal,sandalo,unknown
the sandal,il sandalo,noun,[fashion],sandal,sandalo,unknown
the sandwiches,i panini,noun,[food],sandwich,panino,unknown
a sandwich,un panino,noun,[food],sandwich,panino,unknown
the sandwich,il panino,noun,[food],sandwich,panino,unknown
the sapphires,gli zaffiri,noun,[jewelry and metal working],sapphire,zaffiro,unknown
the sapphire,lo zaffiro,noun,[jewelry and metal working],sapphire,zaffiro,unknown
a sapphire,uno zaffiro,noun,[jewelry and metal working],sapphire,zaffiro,unknown
the scarves,le sciarpe,noun,[fashion],scarf,sciarpa,unknown
the scarf,la sciarpa,noun,[fashion],scarf,sciarpa,unknown
a scarf,una sciarpa,noun,[fashion],scarf,sciarpa,unknown
the school,la scuola,noun,[places],school,scuola,unknown
a school,una scuola,noun,[places],school,scuola,unknown
the schools,le scuole,noun,[places],school,scuola,unknown
scorching (plural),roventi,adjective,[temperature],scorching,rovente,False
scorching,rovente,adjective,[temperature],scorching,rovente,True
the season,la stagione,noun,[time],season,stagione,unknown
the seasons,le stagioni,noun,[time],season,stagione,unknown
a season,una stagione,noun,[time],season,stagione,unknown
the seats,i posti,noun,[travel],seat,posto,unknown
a seat,un posto,noun,[travel],seat,posto,unknown
the seat,il posto,noun,[travel],seat,posto,unknown
a second,un secondo,noun,[time],second,secondo,unknown
the seconds,i secondi,noun,[time],second,secondo,unknown
the second,il secondo,noun,[time],second,secondo,unknown
the setting,l'incastonatura,noun,[jewelry and metal working],setting,incastonatura,True
several (feminine) (plural),diverse,adjective,[quantity],several,diverso,False
several (masculine) (plural),diversi,adjective,[quantity],several,diverso,True
she,lei,pronoun,[subject],she,lei,True
the sheets,le lastre,noun,[jewelry and metal working],sheet,lastra,unknown
a sheet,una lastra,noun,[jewelry and metal working],sheet,lastra,unknown
the sheet,la lastra,noun,[jewelry and metal working],sheet,lastra,unknown
a shirt,una camicia,noun,[fashion],shirt,camicia,unknown
the shirt,la camicia,noun,[fashion],shirt,camicia,unknown
the shirts,le camicie,noun,[fashion],shirt,camicia,unknown
the shoe,la scarpa,noun,[fashion],shoe,scarpa,unknown
a shoe,una scarpa,noun,[fashion],shoe,scarpa,unknown
the shoes,le scarpe,noun,[fashion],shoe,scarpa,unknown
short (height) (feminine) (plural),basse,adjective,[size],short (height),basso,False
short (height) (masculine) (plural),bassi,adjective,[size],short (height),basso,False
short (height) (feminine),bassa,adjective,[size],short (height),basso,False
short (height) (masculine),basso,adjective,[size],short (height),basso,True
a sign,un segnale,noun,[directions],sign,segnale,unknown
the sign,il segnale,noun,[directions],sign,segnale,unknown
the signs,i segnali,noun,[directions],sign,segnale,unknown
silver,argento,noun,[jewelry and metal working],silver,argento,True
the silver,l'argento,noun,[jewelry and metal working],silver,argento,False
the singer,il cantante,noun,[people],singer,cantante,unknown
a singer,un cantante,noun,[people],singer,cantante,unknown
the singers,i cantanti,noun,[people],singer,cantante,unknown
single (feminine),singola,adjective,[quantity],single,singolo,False
single (masculine),singolo,adjective,[quantity],single,singolo,True
a skirt,una gonna,noun,[fashion],skirt,gonna,unknown
the skirt,la gonna,noun,[fashion],skirt,gonna,unknown
the skirts,le gonne,noun,[fashion],skirt,gonna,unknown
the sky,il cielo,noun,[weather],sky,cielo,False
sky,cielo,noun,[weather],sky,cielo,True
small (feminine) (plural),piccole,adjective,[general],small,piccolo,False
small (masculine),piccolo,adjective,[general],small,piccolo,True
small (feminine),piccola,adjective,[general],small,piccolo,False
small (masculine) (plural),piccoli,adjective,[general],small,piccolo,False
snow,neve,noun,[weather],snow,neve,True
the snow,la neve,noun,[weather],snow,neve,False
soda,bibita gassata,noun,[drinks],soda,bibita gassata,True
the soda,la bibita gassata,noun,[drinks],soda,bibita gassata,False
sold out (masculine),esaurito,adjective,[shopping],sold out,esaurito,True
sold out (feminine),esaurita,adjective,[shopping],sold out,esaurito,False
some (masculine) (plural),alcuni,adjective,[quantity],some,alcuno,True
some (feminine) (plural),alcune,adjective,[quantity],some,alcuno,False
someone,qualcuno,pronoun,[indefinite],someone,qualcuno,True
something,qualcosa,pronoun,[indefinite],something,qualcosa,True
a soup,una zuppa,noun,[food],soup,zuppa,unknown
the soup,la zuppa,noun,[food],soup,zuppa,unknown
the south,il sud,noun,[directions],south,sud,False
south,sud,noun,[directions],south,sud,True
the sparkling mineral water,l'acqua minerale frizzante,noun,[drinks],sparkling mineral water,acqua minerale frizzante,True
sparkling water,acqua frizzante,noun,[drinks],sparkling water,acqua frizzante,True
the sparkling water,l'acqua frizzante,noun,[drinks],sparkling water,acqua frizzante,False
the spoon,il cucchiaio,noun,[restaurant],spoon,cucchiaio,unknown
a spoon,un cucchiaio,noun,[restaurant],spoon,cucchiaio,unknown
the spoons,i cucchiai,noun,[restaurant],spoon,cucchiaio,unknown
the springs,le primavere,noun,[time],spring,primavera,unknown
a spring,una primavera,noun,[time],spring,primavera,unknown
the spring,la primavera,noun,[time],spring,primavera,unknown
a square,una piazza,noun,[directions],square,piazza,unknown
the square,la piazza,noun,[directions],square,piazza,unknown
the squares,le piazze,noun,[directions],square,piazza,unknown
the station,la stazione,noun,[places],station,stazione,unknown
the stations,le stazioni,noun,[places],station,stazione,unknown
a station,una stazione,noun,[places],station,stazione,unknown
the steak,la bistecca,noun,[food],steak,bistecca,unknown
the steaks,le bistecche,noun,[food],steak,bistecca,unknown
a steak,una bistecca,noun,[food],steak,bistecca,unknown
the steel,l'acciaio,noun,[jewelry and metal working],steel,acciaio,False
steel,acciaio,noun,[jewelry and metal working],steel,acciaio,True
the still mineral water,l'acqua minerale naturale,noun,[drinks],still mineral water,acqua minerale naturale,True
the still water,l'acqua naturale,noun,[drinks],still water,acqua naturale,False
still water,acqua naturale,noun,[drinks],still water,acqua naturale,True
the stones,le pietre,noun,[jewelry and metal working],stone,pietra,unknown
a stone,una pietra,noun,[jewelry and metal working],stone,pietra,unknown
the stone,la pietra,noun,[jewelry and metal working],stone,pietra,unknown
the storms,le tempeste,noun,[weather],storm,tempesta,unknown
the storm,la tempesta,noun,[weather],storm,tempesta,unknown
a storm,una tempesta,noun,[weather],storm,tempesta,unknown
the street,la strada,noun,[directions],street,strada,unknown
a street,una strada,noun,[directions],street,strada,unknown
the streets,le strade,noun,[directions],street,strada,unknown
the student (masculine),lo studente,noun,[people],student,studente,unknown
a student (masculine),uno studente,noun,[people],student,studente,unknown
the students (masculine),gli studenti,noun,[people],student,studente,unknown
the student (feminine),la studentessa,noun,[people],student,studentessa,unknown
a student (feminine),una studentessa,noun,[people],student,studentessa,unknown
the students (feminine),le studentesse,noun,[people],student,studentessa,unknown
the suit,il completo,noun,[fashion],suit,completo,unknown
a suit,un completo,noun,[fashion],suit,completo,unknown
the suits,i completi,noun,[fashion],suit,completo,unknown
a suitcase,una valigia,noun,[travel],suitcase,valigia,unknown
the suitcase,la valigia,noun,[travel],suitcase,valigia,unknown
the suitcases,le valigie,noun,[travel],suitcase,valigia,unknown
a summer,un'estate,noun,[time],summer,estate,unknown
the summers,le estati,noun,[time],summer,estate,unknown
the summer,l'estate,noun,[time],summer,estate,unknown
the sun,il sole,noun,[weather],sun,sole,False
sun,sole,noun,[weather],sun,sole,True
the supermarket,il supermercato,noun,[places],supermarket,supermercato,unknown
a supermarket,un supermercato,noun,[places],supermarket,supermercato,unknown
the supermarkets,i supermercati,noun,[places],supermarket,supermercato,unknown
surprised (feminine),sorpresa,adjective,[emotion],surprised,sorpreso,False
surprised (masculine),sorpreso,adjective,[emotion],surprised,sorpreso,True
the sweater,il maglione,noun,[fashion],sweater,maglione,unknown
the sweaters,i maglioni,noun,[fashion],sweater,maglione,unknown
a sweater,un maglione,noun,[fashion],sweater,maglione,unknown
sweltering (masculine),afoso,adjective,[temperature],sweltering,afoso,True
sweltering (feminine),afosa,adjective,[temperature],sweltering,afoso,False
sweltering (masculine) (plural),afosi,adjective,[temperature],sweltering,afoso,False
sweltering (feminine) (plural),afose,adjective,[temperature],sweltering,afoso,False
a t-shirt,una maglietta,noun,[fashion],t-shirt,maglietta,unknown
the t-shirt,la maglietta,noun,[fashion],t-shirt,maglietta,unknown
the t-shirts,le magliette,noun,[fashion],t-shirt,maglietta,unknown
the table,il tavolo,noun,[general],table,tavolo,unknown
a table,un tavolo,noun,[general],table,tavolo,unknown
the tables,i tavoli,noun,[general],table,tavolo,unknown
tall (masculine),alto,adjective,[size],tall,alto,True
tall (feminine) (plural),alte,adjective,[size],tall,alto,False
tall (masculine) (plural),alti,adjective,[size],tall,alto,False
tall (feminine),alta,adjective,[size],tall,alto,False
the taxi,il taxi,noun,[travel],taxi,taxi,unknown
a taxi,un taxi,noun,[travel],taxi,taxi,unknown
the taxis,i taxi,noun,[travel],taxi,taxi,unknown
the tea,il tè,noun,[drinks],tea,tè,False
a tea,un tè,noun,[drinks],tea,tè,False
tea,tè,noun,[drinks],tea,tè,True
temperate (feminine),temperata,adjective,[temperature],temperate,temperato,False
temperate (masculine),temperato,adjective,[temperature],temperate,temperato,True
temperate (masculine) (plural),temperati,adjective,[temperature],temperate,temperato,False
temperate (feminine) (plural),temperate,adjective,[temperature],temperate,temperato,False
the temperature,la temperatura,noun,[weather],temperature,temperatura,unknown
the temperatures,le temperature,noun,[weather],temperature,temperatura,unknown
terrible,terribile,adjective,[quality],terrible,terribile,True
that (masculine),quello,pronoun,[demonstrative],that,quello,True
that (feminine),quella,pronoun,[demonstrative],that,quello,False
theirs (feminine),la loro,pronoun,[possessive],theirs,loro,False
theirs (masculine),il loro,pronoun,[possessive],theirs,loro,True
theirs (masculine) (plural),i loro,pronoun,[possessive],theirs,loro,False
theirs (feminine) (plural),le loro,pronoun,[possessive],theirs,loro,False
them (feminine) (plural),le,pronoun,[object],them,le,True
them (masculine) (plural),li,pronoun,[object],them,li,True
themselves,si,pronoun,[reflexive],themselves,si,True
these (masculine) (plural),questi,pronoun,[demonstrative],these,questo,True
these (feminine) (plural),queste,pronoun,[demonstrative],these,questo,False
they,loro,pronoun,[subject],they,loro,True
thick (masculine) (plural),spessi,adjective,[size],thick,spesso,False
thick (feminine) (plural),spesse,adjective,[size],thick,spesso,False
thick (masculine),spesso,adjective,[size],thick,spesso,True
thick (feminine),spessa,adjective,[size],thick,spesso,False
thin (plural),sottili,adjective,[size],thin,sottile,False
thin,sottile,adjective,[size],thin,sottile,True
the things,le cose,noun,[general],thing,cosa,unknown
a thing,una cosa,noun,[general],thing,cosa,unknown
the thing,la cosa,noun,[general],thing,cosa,unknown
this (masculine),questo,pronoun,[demonstrative],this,questo,True
this (feminine),questa,pronoun,[demonstrative],this,questo,False
those (masculine) (plural),quelli,pronoun,[demonstrative],those,quello,True
those (feminine) (plural),quelle,pronoun,[demonstrative],those,quello,False
thunder,tuono,noun,[weather],thunder,tuono,True
the thunder,il tuono,noun,[weather],thunder,tuono,False
a ticket,un biglietto,noun,[travel],ticket,biglietto,unknown
the tickets,i biglietti,noun,[travel],ticket,biglietto,unknown
the ticket,il biglietto,noun,[travel],ticket,biglietto,unknown
tiny (masculine),minuscolo,adjective,[size],tiny,minuscolo,True
tiny (feminine),minuscola,adjective,[size],tiny,minuscolo,False
tiny (masculine) (plural),minuscoli,adjective,[size],tiny,minuscolo,False
tiny (feminine) (plural),minuscole,adjective,[size],tiny,minuscolo,False
a tip,una mancia,noun,[restaurant],tip,mancia,unknown
the tip,la mancia,noun,[restaurant],tip,mancia,unknown
the tips,le mance,noun,[restaurant],tip,mancia,unknown
tired (masculine),stanco,adjective,[emotion],tired,stanco,True
tired (feminine),stanca,adjective,[emotion],tired,stanco,False
the titanium,il titanio,noun,[jewelry and metal working],titanium,titanio,False
titanium,titanio,noun,[jewelry and metal working],titanium,titanio,True
I anneal,ricuocio,verb,[jewelry and metal working],to anneal,ricuocere,False
we anneal,ricuociamo,verb,[jewelry and metal working],to anneal,ricuocere,False
they anneal,ricuociono,verb,[jewelry and metal working],to anneal,ricuocere,False
I annealed,ho ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
you annealed (familiar),hai ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
annealing,ricuocendo,verb,[jewelry and metal working],to anneal,ricuocere,False
to anneal,ricuocere,verb,[jewelry and metal working],to anneal,ricuocere,True
we annealed,abbiamo ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
you anneal (familiar),ricuoci,verb,[jewelry and metal working],to anneal,ricuocere,False
you anneal (plural),ricuocete,verb,[jewelry and metal working],to anneal,ricuocere,False
she anneals,ricuoce,verb,[jewelry and metal working],to anneal,ricuocere,False
he anneals,ricuoce,verb,[jewelry and metal working],to anneal,ricuocere,False
you annealed (plural),avete ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
they annealed,hanno ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
she annealed,ha ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
he annealed,ha ricotto,verb,[jewelry and metal working],to anneal,ricuocere,False
to ask for,richiedere,verb,[shopping],to ask for,richiedere,True
I ask for,richiedo,verb,[shopping],to ask for,richiedere,False
they ask for,richiedono,verb,[shopping],to ask for,richiedere,False
you ask for (plural),richiedete,verb,[shopping],to ask for,richiedere,False
we asked for,abbiamo richiesto,verb,[shopping],to ask for,richiedere,False
you asked for (plural),avete richiesto,verb,[shopping],to ask for,richiedere,False
I asked for,ho richiesto,verb,[shopping],to ask for,richiedere,False
she asked for,ha richiesto,verb,[shopping],to ask for,richiedere,False
they asked for,hanno richiesto,verb,[shopping],to ask for,richiedere,False
we ask for,richiediamo,verb,[shopping],to ask for,richiedere,False
he asks for,richiede,verb,[shopping],to ask for,richiedere,False
she asks for,richiede,verb,[shopping],to ask for,richiedere,False
you ask for (familiar),richiedi,verb,[shopping],to ask for,richiedere,False
he asked for,ha richiesto,verb,[shopping],to ask for,richiedere,False
you asked for (familiar),hai richiesto,verb,[shopping],to ask for,richiedere,False
asking for,richiedendo,verb,[shopping],to ask for,richiedere,False
she bends,piega,verb,[jewelry and metal working],to bend,piegare,False
you bent (plural),avete piegato,verb,[jewelry and metal working],to bend,piegare,False
they bent,hanno piegato,verb,[jewelry and metal working],to bend,piegare,False
we bent,abbiamo piegato,verb,[jewelry and metal working],to bend,piegare,False
he bent,ha piegato,verb,[jewelry and metal working],to bend,piegare,False
she bent,ha piegato,verb,[jewelry and metal working],to bend,piegare,False
you bent (familiar),hai piegato,verb,[jewelry and metal working],to bend,piegare,False
I bent,ho piegato,verb,[jewelry and metal working],to bend,piegare,False
you bend (plural),piegate,verb,[jewelry and metal working],to bend,piegare,False
they bend,piegano,verb,[jewelry and metal working],to bend,piegare,False
to bend,piegare,verb,[jewelry and metal working],to bend,piegare,True
I bend,piego,verb,[jewelry and metal working],to bend,piegare,False
you bend (familiar),pieghi,verb,[jewelry and metal working],to bend,piegare,False
bending,piegando,verb,[jewelry and metal working],to bend,piegare,False
he bends,piega,verb,[jewelry and metal working],to bend,piegare,False
we bend,pieghiamo,verb,[jewelry and metal working],to bend,piegare,False
he buffed,ha spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
you buffed (plural),avete spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
they buffed,hanno spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
we buffed,abbiamo spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
he buffs,spazzola,verb,[jewelry and metal working],to buff,spazzolare,False
she buffed,ha spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
you buffed (familiar),hai spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
I buffed,ho spazzolato,verb,[jewelry and metal working],to buff,spazzolare,False
you buff (plural),spazzolate,verb,[jewelry and metal working],to buff,spazzolare,False
