term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
le camere,false,camera,the rooms,"home,travel",feminine,plural,definite,le,le,n/a,,"Le camere sono pulite.","The rooms are clean."
delle camere,false,camera,some rooms,"home,travel",feminine,plural,articulated_preposition,le,delle,di,,"Abbiamo delle camere libere.","We have some available rooms."
della camera,false,camera,of the room,"home,travel",feminine,singular,articulated_preposition,la,della,di,,"La chiave della camera è qui.","The room’s key is here."
alla camera,false,camera,to the room,"home,travel",feminine,singular,articulated_preposition,la,alla,a,,"Vado alla camera ora.","I’m going to the room now."
alle camere,false,camera,to the rooms,"home,travel",feminine,plural,articulated_preposition,le,alle,a,,"Accesso alle camere al primo piano.","Access to the rooms on the first floor."
dalla camera,false,camera,from the room,"home,travel",feminine,singular,articulated_preposition,la,dalla,da,,"Esco dalla camera.","I leave the room."
dalle camere,false,camera,from the rooms,"home,travel",feminine,plural,articulated_preposition,le,dalle,da,,"Rumori dalle camere vicine.","Noises from the nearby rooms."
nella camera,false,camera,in the room,"home,travel",feminine,singular,articulated_preposition,la,nella,in,,"C’è luce nella camera.","There is light in the room."
nelle camere,false,camera,in the rooms,"home,travel",feminine,plural,articulated_preposition,le,nelle,in,,"Ventilatori nelle camere.","Fans in the rooms."
sulla camera,false,camera,on the room,"home,travel",feminine,singular,articulated_preposition,la,sulla,su,,"Nota sulla camera 12.","A note about room 12."
sulle camere,false,camera,on the rooms,"home,travel",feminine,plural,articulated_preposition,le,sulle,su,,"Commenti sulle camere.","Comments on the rooms."
con la camera,false,camera,with the room,"home,travel",feminine,singular,articulated_preposition,la,con la,con,,"Pago con la camera inclusa.","I pay with the room included."
con le camere,false,camera,with the rooms,"home,travel",feminine,plural,articulated_preposition,le,con le,con,,"Lavoro con le camere deluxe.","I work with the deluxe rooms."
biglietto,true,biglietto,ticket,"travel,transport",masculine,singular,none,n/a,n/a,n/a,base lemma,"Compro un biglietto online.","I buy a ticket online."
un biglietto,false,biglietto,a ticket,"travel,transport",masculine,singular,indefinite,un,un,n/a,,"Mi serve un biglietto.","I need a ticket."
il biglietto,false,biglietto,the ticket,"travel,transport",masculine,singular,definite,il,il,n/a,,"Il biglietto costa poco.","The ticket is cheap."
biglietti,false,biglietto,tickets,"travel,transport",masculine,plural,none,n/a,n/a,n/a,plural form,"Biglietti esauriti.","Tickets sold out."
i biglietti,false,biglietto,the tickets,"travel,transport",masculine,plural,definite,i,i,n/a,,"I biglietti sono validi.","The tickets are valid."
dei biglietti,false,biglietto,some tickets,"travel,transport",masculine,plural,articulated_preposition,i,dei,di,,"Compra dei biglietti extra.","Buy some extra tickets."
del biglietto,false,biglietto,of the ticket,"travel,transport",masculine,singular,articulated_preposition,il,del,di,,"La data del biglietto è sbagliata.","The ticket’s date is wrong."
al biglietto,false,biglietto,to the ticket,"travel,transport",masculine,singular,articulated_preposition,il,al,a,,"Aggiungo il nome al biglietto.","I add the name to the ticket."
ai biglietti,false,biglietto,to the tickets,"travel,transport",masculine,plural,articulated_preposition,i,ai,a,,"Accedo ai biglietti digitali.","I access the digital tickets."
dal biglietto,false,biglietto,from the ticket,"travel,transport",masculine,singular,articulated_preposition,il,dal,da,,"Leggo i dati dal biglietto.","I read the data from the ticket."
dai biglietti,false,biglietto,from the tickets,"travel,transport",masculine,plural,articulated_preposition,i,dai,da,,"Codici dai biglietti cartacei.","Codes from the paper tickets."
nel biglietto,false,biglietto,in the ticket,"travel,transport",masculine,singular,articulated_preposition,il,nel,in,,"C’è un errore nel biglietto.","There’s an error in the ticket."
nei biglietti,false,biglietto,in the tickets,"travel,transport",masculine,plural,articulated_preposition,i,nei,in,,"Note nei biglietti.","Notes in the tickets."
sul biglietto,false,biglietto,on the ticket,"travel,transport",masculine,singular,articulated_preposition,il,sul,su,,"Firma sul biglietto.","Signature on the ticket."
sui biglietti,false,biglietto,on the tickets,"travel,transport",masculine,plural,articulated_preposition,i,sui,su,,"Sconti sui biglietti.","Discounts on the tickets."
col biglietto,false,biglietto,with the ticket,"travel,transport",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Entro col biglietto elettronico.","I enter with the electronic ticket."
coi biglietti,false,biglietto,with the tickets,"travel,transport",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Viaggio coi biglietti prepagati.","I travel with prepaid tickets."
macchina,true,macchina,car,"transport,everyday",feminine,singular,none,n/a,n/a,n/a,base lemma,"Guido macchina nuova.","I drive a new car."
una macchina,false,macchina,a car,"transport,everyday",feminine,singular,indefinite,una,una,n/a,,"Noleggio una macchina.","I rent a car."
la macchina,false,macchina,the car,"transport,everyday",feminine,singular,definite,la,la,n/a,,"La macchina è veloce.","The car is fast."
macchine,false,macchina,cars,"transport,everyday",feminine,plural,none,n/a,n/a,n/a,plural form,"Macchine elettriche in città.","Electric cars in the city."
le macchine,false,macchina,the cars,"transport,everyday",feminine,plural,definite,le,le,n/a,,"Le macchine sono parcheggiate.","The cars are parked."
delle macchine,false,macchina,some cars,"transport,everyday",feminine,plural,articulated_preposition,le,delle,di,,"Compriamo delle macchine usate.","We’re buying some used cars."
della macchina,false,macchina,of the car,"transport,everyday",feminine,singular,articulated_preposition,la,della,di,,"Il colore della macchina mi piace.","I like the car’s color."
alla macchina,false,macchina,to the car,"transport,everyday",feminine,singular,articulated_preposition,la,alla,a,,"Vado alla macchina.","I’m going to the car."
alle macchine,false,macchina,to the cars,"transport,everyday",feminine,plural,articulated_preposition,le,alle,a,,"Accesso alle macchine aziendali.","Access to company cars."
dalla macchina,false,macchina,from the car,"transport,everyday",feminine,singular,articulated_preposition,la,dalla,da,,"Scendo dalla macchina.","I get out of the car."
dalle macchine,false,macchina,from the cars,"transport,everyday",feminine,plural,articulated_preposition,le,dalle,da,,"Rumori dalle macchine.","Noises from the cars."
nella macchina,false,macchina,in the car,"transport,everyday",feminine,singular,articulated_preposition,la,nella,in,,"C’è un cavo nella macchina.","There’s a cable in the car."
nelle macchine,false,macchina,in the cars,"transport,everyday",feminine,plural,articulated_preposition,le,nelle,in,,"Bambini nelle macchine.","Children in the cars."
sulla macchina,false,macchina,on the car,"transport,everyday",feminine,singular,articulated_preposition,la,sulla,su,,"Piove sulla macchina.","It’s raining on the car."
sulle macchine,false,macchina,on the cars,"transport,everyday",feminine,plural,articulated_preposition,le,sulle,su,,"Polvere sulle macchine.","Dust on the cars."
con la macchina,false,macchina,with the car,"transport,everyday",feminine,singular,articulated_preposition,la,con la,con,,"Vado con la macchina.","I go by car."
con le macchine,false,macchina,with the cars,"transport,everyday",feminine,plural,articulated_preposition,le,con le,con,,"Lavoro con le macchine nuove.","I work with the new cars."
autobus,true,autobus,bus,"transport,public",masculine,singular,none,n/a,n/a,n/a,base lemma,"Aspetto un autobus.","I’m waiting for a bus."
un autobus,false,autobus,a bus,"transport,public",masculine,singular,indefinite,un,un,n/a,,"Prendo un autobus diretto.","I’m taking a direct bus."
l’autobus,false,autobus,the bus,"transport,public",masculine,singular,definite,l’,l’,n/a,,"L’autobus è in ritardo.","The bus is late."
autobus,false,autobus,buses,"transport,public",masculine,plural,none,n/a,n/a,n/a,invariable plural,"Autobus affollati stamattina.","Crowded buses this morning."
gli autobus,false,autobus,the buses,"transport,public",masculine,plural,definite,gli,gli,n/a,invariable plural,"Gli autobus partono spesso.","The buses depart often."
degli autobus,false,autobus,some buses,"transport,public",masculine,plural,articulated_preposition,gli,degli,di,invariable plural,"Aspettiamo degli autobus.","We’re waiting for some buses."
dell’autobus,false,autobus,of the bus,"transport,public",masculine,singular,articulated_preposition,l’,dell’,di,,"Il numero dell’autobus è 12.","The bus number is 12."
all’autobus,false,autobus,to the bus,"transport,public",masculine,singular,articulated_preposition,l’,all’,a,,"Salgo all’autobus.","I get on the bus."
agli autobus,false,autobus,to the buses,"transport,public",masculine,plural,articulated_preposition,gli,agli,a,invariable plural,"Accesso agli autobus urbani.","Access to urban buses."
dall’autobus,false,autobus,from the bus,"transport,public",masculine,singular,articulated_preposition,l’,dall’,da,,"Scendo dall’autobus.","I get off the bus."
dagli autobus,false,autobus,from the buses,"transport,public",masculine,plural,articulated_preposition,gli,dagli,da,invariable plural,"Orari dagli autobus extraurbani.","Schedules from the intercity buses."
nell’autobus,false,autobus,in the bus,"transport,public",masculine,singular,articulated_preposition,l’,nell’,in,,"Posti liberi nell’autobus.","Free seats on the bus."
negli autobus,false,autobus,in the buses,"transport,public",masculine,plural,articulated_preposition,gli,negli,in,invariable plural,"Aria condizionata negli autobus.","Air conditioning on the buses."
sull’autobus,false,autobus,on the bus,"transport,public",masculine,singular,articulated_preposition,l’,sull’,su,,"Oblitero il biglietto sull’autobus.","I validate the ticket on the bus."
sugli autobus,false,autobus,on the buses,"transport,public",masculine,plural,articulated_preposition,gli,sugli,su,invariable plural,"Cartelli sugli autobus.","Signs on the buses."
con l’autobus,false,autobus,with the bus,"transport,public",masculine,singular,articulated_preposition,l’,con l’,con,,"Vado con l’autobus.","I go by bus."
con gli autobus,false,autobus,with the buses,"transport,public",masculine,plural,articulated_preposition,gli,con gli,con,,"Viaggio con gli autobus notturni.","I travel with the night buses."
treno,true,treno,train,"transport,public",masculine,singular,none,n/a,n/a,n/a,base lemma,"Prendo treno veloce.","I take a fast train."
un treno,false,treno,a train,"transport,public",masculine,singular,indefinite,un,un,n/a,,"Aspetto un treno regionale.","I’m waiting for a regional train."
il treno,false,treno,the train,"transport,public",masculine,singular,definite,il,il,n/a,,"Il treno parte alle otto.","The train leaves at eight."
treni,false,treno,trains,"transport,public",masculine,plural,none,n/a,n/a,n/a,plural form,"Treni puntuali oggi.","Trains are on time today."
i treni,false,treno,the trains,"transport,public",masculine,plural,definite,i,i,n/a,,"I treni sono pieni.","The trains are full."
dei treni,false,treno,some trains,"transport,public",masculine,plural,articulated_preposition,i,dei,di,,"Prendiamo dei treni veloci.","We take some fast trains."
del treno,false,treno,of the train,"transport,public",masculine,singular,articulated_preposition,il,del,di,,"Il capotreno del treno parla.","The train’s conductor is speaking."
al treno,false,treno,to the train,"transport,public",masculine,singular,articulated_preposition,il,al,a,,"Salgo al treno.","I get on the train."
ai treni,false,treno,to the trains,"transport,public",masculine,plural,articulated_preposition,i,ai,a,,"Cambio ai treni regionali.","I transfer to the regional trains."
dal treno,false,treno,from the train,"transport,public",masculine,singular,articulated_preposition,il,dal,da,,"Scendo dal treno.","I get off the train."
dai treni,false,treno,from the trains,"transport,public",masculine,plural,articulated_preposition,i,dai,da,,"Ritardi dai treni notturni.","Delays from the night trains."
nel treno,false,treno,in the train,"transport,public",masculine,singular,articulated_preposition,il,nel,in,,"Mangio nel treno.","I eat on the train."
nei treni,false,treno,in the trains,"transport,public",masculine,plural,articulated_preposition,i,nei,in,,"Prese nei treni nuovi.","Outlets on the new trains."
sul treno,false,treno,on the train,"transport,public",masculine,singular,articulated_preposition,il,sul,su,,"Dormo sul treno.","I sleep on the train."
sui treni,false,treno,on the trains,"transport,public",masculine,plural,articulated_preposition,i,sui,su,,"Bagagli sui treni.","Luggage on the trains."
col treno,false,treno,with the train,"transport,public",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Viaggio col treno veloce.","I travel with the fast train."
coi treni,false,treno,with the trains,"transport,public",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Mi muovo coi treni regionali.","I get around with regional trains."
aeroporto,true,aeroporto,airport,"travel,transport",masculine,singular,none,n/a,n/a,n/a,base lemma,"Visito un aeroporto moderno.","I visit a modern airport."
un aeroporto,false,aeroporto,an airport,"travel,transport",masculine,singular,indefinite,un,un,n/a,,"C’è un aeroporto vicino.","There’s an airport nearby."
l’aeroporto,false,aeroporto,the airport,"travel,transport",masculine,singular,definite,l’,l’,n/a,,"L’aeroporto è lontano.","The airport is far."
aeroporti,false,aeroporto,airports,"travel,transport",masculine,plural,none,n/a,n/a,n/a,plural form,"Aeroporti europei sono efficienti.","European airports are efficient."
gli aeroporti,false,aeroporto,the airports,"travel,transport",masculine,plural,definite,gli,gli,n/a,,"Gli aeroporti chiudono tardi.","Airports close late."
degli aeroporti,false,aeroporto,some airports,"travel,transport",masculine,plural,articulated_preposition,gli,degli,di,,"Visitiamo degli aeroporti nuovi.","We visit some new airports."
dell’aeroporto,false,aeroporto,of the airport,"travel,transport",masculine,singular,articulated_preposition,l’,dell’,di,,"L’uscita dell’aeroporto è a destra.","The airport’s exit is on the right."
all’aeroporto,false,aeroporto,to the airport,"travel,transport",masculine,singular,articulated_preposition,l’,all’,a,,"Arrivo all’aeroporto presto.","I arrive at the airport early."
agli aeroporti,false,aeroporto,to the airports,"travel,transport",masculine,plural,articulated_preposition,gli,agli,a,,"Navette agli aeroporti principali.","Shuttles to the main airports."
dall’aeroporto,false,aeroporto,from the airport,"travel,transport",masculine,singular,articulated_preposition,l’,dall’,da,,"Esco dall’aeroporto.","I leave the airport."
dagli aeroporti,false,aeroporto,from the airports,"travel,transport",masculine,plural,articulated_preposition,gli,dagli,da,,"Voli dagli aeroporti vicini.","Flights from nearby airports."
nell’aeroporto,false,aeroporto,in the airport,"travel,transport",masculine,singular,articulated_preposition,l’,nell’,in,,"Mangio nell’aeroporto.","I eat in the airport."
negli aeroporti,false,aeroporto,in the airports,"travel,transport",masculine,plural,articulated_preposition,gli,negli,in,,"Lavori negli aeroporti.","Jobs in airports."
sull’aeroporto,false,aeroporto,on the airport,"travel,transport",masculine,singular,articulated_preposition,l’,sull’,su,,"Dati sull’aeroporto.","Data about the airport."
sugli aeroporti,false,aeroporto,on the airports,"travel,transport",masculine,plural,articulated_preposition,gli,sugli,su,,"Report sugli aeroporti.","Report on airports."
con l’aeroporto,false,aeroporto,with the airport,"travel,transport",masculine,singular,articulated_preposition,l’,con l’,con,,"Collaboriamo con l’aeroporto.","We collaborate with the airport."
con gli aeroporti,false,aeroporto,with the airports,"travel,transport",masculine,plural,articulated_preposition,gli,con gli,con,,"Lavoriamo con gli aeroporti regionali.","We work with regional airports."
albergo,true,albergo,hotel,"travel,accommodation",masculine,singular,none,n/a,n/a,n/a,base lemma,"Cerco un albergo centrale.","I’m looking for a central hotel."
un albergo,false,albergo,a hotel,"travel,accommodation",masculine,singular,indefinite,un,un,n/a,,"Prenoto un albergo vicino.","I book a nearby hotel."
l’albergo,false,albergo,the hotel,"travel,accommodation",masculine,singular,definite,l’,l’,n/a,,"L’albergo è pieno.","The hotel is full."
alberghi,false,albergo,hotels,"travel,accommodation",masculine,plural,none,n/a,n/a,n/a,orthographic change g→gh in plural,"Alberghi economici qui.","Cheap hotels here."
gli alberghi,false,albergo,the hotels,"travel,accommodation",masculine,plural,definite,gli,gli,n/a,,"Gli alberghi sono comodi.","The hotels are comfortable."
degli alberghi,false,albergo,some hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,degli,di,,"Provo degli alberghi nuovi.","I try some new hotels."
dell’albergo,false,albergo,of the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,dell’,di,,"La hall dell’albergo è grande.","The hotel’s lobby is big."
all’albergo,false,albergo,to the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,all’,a,,"Torno all’albergo.","I return to the hotel."
agli alberghi,false,albergo,to the hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,agli,a,,"Servizi agli alberghi cittadini.","Services to city hotels."
dall’albergo,false,albergo,from the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,dall’,da,,"Esco dall’albergo.","I exit the hotel."
dagli alberghi,false,albergo,from the hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,dagli,da,,"Navette dagli alberghi.","Shuttles from the hotels."
nell’albergo,false,albergo,in the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,nell’,in,,"Resto nell’albergo.","I stay in the hotel."
negli alberghi,false,albergo,in the hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,negli,in,,"Piscine negli alberghi.","Pools in the hotels."
sull’albergo,false,albergo,on the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,sull’,su,,"Recensione sull’albergo.","A review about the hotel."
sugli alberghi,false,albergo,on the hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,sugli,su,,"Dati sugli alberghi.","Data on the hotels."
con l’albergo,false,albergo,with the hotel,"travel,accommodation",masculine,singular,articulated_preposition,l’,con l’,con,,"Lavoro con l’albergo partner.","I work with the partner hotel."
con gli alberghi,false,albergo,with the hotels,"travel,accommodation",masculine,plural,articulated_preposition,gli,con gli,con,,"Accordi con gli alberghi locali.","Agreements with local hotels."
strada,true,strada,road,"places,transport",feminine,singular,none,n/a,n/a,n/a,base lemma,"Attraverso strada con cura.","I cross the road carefully."
una strada,false,strada,a road,"places,transport",feminine,singular,indefinite,una,una,n/a,,"Cerco una strada alternativa.","I’m looking for an alternative road."
la strada,false,strada,the road,"places,transport",feminine,singular,definite,la,la,n/a,,"La strada è chiusa.","The road is closed."
strade,false,strada,roads,"places,transport",feminine,plural,none,n/a,n/a,n/a,plural form,"Strade vuote stamattina.","Empty roads this morning."
le strade,false,strada,the roads,"places,transport",feminine,plural,definite,le,le,n/a,,"Le strade sono strette.","The roads are narrow."
delle strade,false,strada,some roads,"places,transport",feminine,plural,articulated_preposition,le,delle,di,,"Conosco delle strade migliori.","I know some better roads."
della strada,false,strada,of the road,"places,transport",feminine,singular,articulated_preposition,la,della,di,,"Il nome della strada è lungo.","The road’s name is long."
alla strada,false,strada,to the road,"places,transport",feminine,singular,articulated_preposition,la,alla,a,,"Torno alla strada principale.","I return to the main road."
alle strade,false,strada,to the roads,"places,transport",feminine,plural,articulated_preposition,le,alle,a,,"Accesso alle strade interne.","Access to inner roads."
dalla strada,false,strada,from the road,"places,transport",feminine,singular,articulated_preposition,la,dalla,da,,"Rumore dalla strada.","Noise from the road."
dalle strade,false,strada,from the roads,"places,transport",feminine,plural,articulated_preposition,le,dalle,da,,"Detriti dalle strade.","Debris from the roads."
nella strada,false,strada,in the road,"places,transport",feminine,singular,articulated_preposition,la,nella,in,,"C’è traffico nella strada.","There is traffic in the road."
nelle strade,false,strada,in the roads,"places,transport",feminine,plural,articulated_preposition,le,nelle,in,,"Buche nelle strade.","Potholes in the roads."
sulla strada,false,strada,on the road,"places,transport",feminine,singular,articulated_preposition,la,sulla,su,,"Cammino sulla strada.","I walk on the road."
sulle strade,false,strada,on the roads,"places,transport",feminine,plural,articulated_preposition,le,sulle,su,,"Controlli sulle strade.","Checks on the roads."
con la strada,false,strada,with the road,"places,transport",feminine,singular,articulated_preposition,la,con la,con,,"Problemi con la strada provinciale.","Problems with the provincial road."
con le strade,false,strada,with the roads,"places,transport",feminine,plural,articulated_preposition,le,con le,con,,"Lavoriamo con le strade locali.","We work with the local roads."
negozio,true,negozio,shop,"shopping,places",masculine,singular,none,n/a,n/a,n/a,base lemma,"Apro negozio nuovo.","I’m opening a new shop."
un negozio,false,negozio,a shop,"shopping,places",masculine,singular,indefinite,un,un,n/a,,"Cerco un negozio economico.","I’m looking for an inexpensive shop."
il negozio,false,negozio,the shop,"shopping,places",masculine,singular,definite,il,il,n/a,,"Il negozio apre alle nove.","The shop opens at nine."
negozi,false,negozio,shops,"shopping,places",masculine,plural,none,n/a,n/a,n/a,plural form,"Negozi piccoli qui.","Small shops here."
i negozi,false,negozio,the shops,"shopping,places",masculine,plural,definite,i,i,n/a,,"I negozi sono chiusi.","The shops are closed."
dei negozi,false,negozio,some shops,"shopping,places",masculine,plural,articulated_preposition,i,dei,di,,"Visito dei negozi locali.","I visit some local shops."
del negozio,false,negozio,of the shop,"shopping,places",masculine,singular,articulated_preposition,il,del,di,,"Il nome del negozio è noto.","The shop’s name is well-known."
al negozio,false,negozio,to the shop,"shopping,places",masculine,singular,articulated_preposition,il,al,a,,"Vado al negozio ora.","I’m going to the shop now."
ai negozi,false,negozio,to the shops,"shopping,places",masculine,plural,articulated_preposition,i,ai,a,,"Sconti ai negozi affiliati.","Discounts at affiliated shops."
dal negozio,false,negozio,from the shop,"shopping,places",masculine,singular,articulated_preposition,il,dal,da,,"Torno dal negozio.","I return from the shop."
dai negozi,false,negozio,from the shops,"shopping,places",masculine,plural,articulated_preposition,i,dai,da,,"Merci dai negozi vicini.","Goods from nearby shops."
nel negozio,false,negozio,in the shop,"shopping,places",masculine,singular,articulated_preposition,il,nel,in,,"Lavoro nel negozio.","I work in the shop."
nei negozi,false,negozio,in the shops,"shopping,places",masculine,plural,articulated_preposition,i,nei,in,,"Prezzi nei negozi centrali.","Prices in downtown shops."
sul negozio,false,negozio,on the shop,"shopping,places",masculine,singular,articulated_preposition,il,sul,su,,"Cartello sul negozio.","A sign on the shop."
sui negozi,false,negozio,on the shops,"shopping,places",masculine,plural,articulated_preposition,i,sui,su,,"Regole sui negozi.","Rules about shops."
col negozio,false,negozio,with the shop,"shopping,places",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Parlo col negozio online.","I speak with the online shop."
coi negozi,false,negozio,with the shops,"shopping,places",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Collaboro coi negozi locali.","I collaborate with local shops."
